Plugin,Frequency
@babel/plugin-external-helpers,4
@babel/plugin-transform-runtime,43
@storybook/preset-scss,2
cross-env,97
gh-pages,29
hygen,4
jest,194
lodash,82
nodemon,20
patch-package,14
pinyin-pro,1
postinstall-postinstall,7
rc-virtual-list,3
react,287
react-docgen-typescript,5
react-dom,219
react-fast-marquee,4
react-live,5
react-text-loop-next,1
storybook-addon-performance,3
@babel/cli,48
@babel/preset-typescript,56
@changesets/changelog-github,15
@changesets/cli,38
@hi-ui/hi-build,1
@storybook/addon-actions,19
@storybook/addon-essentials,26
@storybook/addon-links,23
@storybook/react,31
@typescript-eslint/eslint-plugin,156
@typescript-eslint/parser,151
autoprefixer,115
babel-eslint,94
babel-jest,95
concurrently,39
copyfiles,12
lerna,55
rimraf,125
rollup-plugin-postcss-inject-to-css,1
rucksack-css,2
sass,74
sass-loader,45
storybook-addon-deps,1
storybook-addon-react-live-edit,1
style-loader,51
styled-components,20
ts-jest,51
turbo,36
typescript,338
@ant-design/colors,3
@ant-design/cssinjs,2
@ant-design/cssinjs-utils,1
@ant-design/icons,6
@ant-design/react-slick,1
@babel/runtime,49
@ctrl/tinycolor,7
@rc-component/color-picker,1
@rc-component/mutate-observer,1
@rc-component/qrcode,1
@rc-component/tour,1
@rc-component/trigger,1
classnames,33
copy-to-clipboard,7
dayjs,37
rc-cascader,1
rc-checkbox,1
rc-collapse,1
rc-dialog,2
rc-drawer,1
rc-dropdown,1
rc-field-form,2
rc-image,1
rc-input,1
rc-input-number,1
rc-mentions,1
rc-menu,1
rc-motion,1
rc-notification,1
rc-pagination,1
rc-picker,1
rc-progress,1
rc-rate,1
rc-resize-observer,1
rc-segmented,2
rc-select,1
rc-slider,1
rc-steps,1
rc-switch,1
rc-table,1
rc-tabs,1
rc-textarea,2
rc-tooltip,2
rc-tree,1
rc-tree-select,1
rc-upload,1
rc-util,5
scroll-into-view-if-needed,4
throttle-debounce,3
@ant-design/compatible,1
@ant-design/happy-work-theme,1
@ant-design/tools,2
@antfu/eslint-config,10
@antv/g6,1
@biomejs/biome,12
@codecov/webpack-plugin,1
@codesandbox/sandpack-react,2
@dnd-kit/core,4
@dnd-kit/modifiers,4
@dnd-kit/sortable,4
@dnd-kit/utilities,4
@emotion/css,3
@emotion/react,26
@emotion/server,5
@eslint-react/eslint-plugin,3
@ianvs/prettier-plugin-sort-imports,8
@inquirer/prompts,2
@madccc/duplicate-package-checker-webpack-plugin,1
@microflash/rehype-figure,1
@npmcli/run-script,1
@octokit/rest,9
@qixian.cs/github-contributors-list,1
@size-limit/file,3
@stackblitz/sdk,9
@testing-library/dom,20
@testing-library/jest-dom,74
@testing-library/react,80
@testing-library/user-event,46
@types/adm-zip,3
@types/ali-oss,1
@types/cli-progress,1
@types/fs-extra,25
@types/gtag.js,2
@types/http-server,1
@types/isomorphic-fetch,1
@types/jest,115
@types/jest-axe,5
@types/jest-environment-puppeteer,2
@types/jest-image-snapshot,1
@types/jquery,9
