Configuração,Frequência
"('baseUrl', '.')",48
"('target', 'es6')",14
"('lib', 'dom')",103
"('lib', 'esnext')",78
"('strict', True)",131
"('sourceMap', True)",64
"('allowJs', True)",65
"('declaration', True)",65
"('skipLibCheck', True)",120
"('esModuleInterop', True)",137
"('strictNullChecks', True)",30
"('allowSyntheticDefaultImports', True)",74
"('forceConsistentCasingInFileNames', True)",75
"('noFallthroughCasesInSwitch', True)",43
"('module', 'esnext')",84
"('moduleResolution', 'node')",127
"('resolveJsonModule', True)",104
"('isolatedModules', True)",53
"('noEmit', False)",3
"('jsx', 'react')",61
"('jsxFactory', 'React.createElement')",1
"('jsxFragmentFactory', 'React.Fragment')",1
"('lib', 'es2017')",17
"('experimentalDecorators', True)",52
"('baseUrl', './')",31
"('moduleResolution', 'Bundler')",7
"('resolvePackageJsonExports', True)",1
"('noImplicitAny', True)",38
"('noUnusedLocals', True)",55
"('noUnusedParameters', True)",46
"('stripInternal', True)",8
"('lib', 'DOM')",24
"('lib', 'ESNext')",16
"('strictNullChecks', False)",5
"('jsx', 'preserve')",47
"('jsxImportSource', 'vue')",4
"('noImplicitAny', False)",18
"('importsNotUsedAsValues', 'preserve')",1
"('allowJs', False)",18
"('alwaysStrict', True)",11
"('emitDecoratorMetadata', False)",1
"('experimentalDecorators', False)",2
"('importHelpers', True)",27
"('jsx', 'react-jsx')",19
"('lib', 'DOM.Iterable')",12
"('noEmit', True)",55
"('noFallthroughCasesInSwitch', False)",4
"('noImplicitReturns', False)",7
"('noImplicitThis', True)",15
"('noUnusedParameters', False)",5
"('pretty', True)",1
"('strictFunctionTypes', True)",9
"('strictPropertyInitialization', True)",5
"('target', 'ES2022')",5
"('types', 'node')",22
"('typeRoots', './node_modules/@types')",7
"('typeRoots', './types')",2
"('target', 'esnext')",50
"('useDefineForClassFields', True)",9
"('module', 'ESNext')",26
"('moduleResolution', 'bundler')",19
"('types', 'vite/client')",9
"('outDir', './dist/tsc-out')",1
"('module', 'commonjs')",23
"('jsx', 'react-native')",11
"('outDir', 'es')",1
"('module', 'es6')",8
"('target', 'es5')",35
"('lib', 'es5')",6
"('downlevelIteration', True)",15
"('useDefineForClassFields', False)",10
"('module', 'es2020')",7
"('target', 'es2021')",1
"('lib', 'es2021')",2
"('lib', 'dom.iterable')",40
"('incremental', True)",25
"('exactOptionalPropertyTypes', True)",1
"('ignoreDeprecations', '5.0')",2
"('types', 'vitest/globals')",5
"('verbatimModuleSyntax', True)",3
"('outDir', 'dist')",14
"('checkJs', True)",7
"('module', 'NodeNext')",3
"('moduleResolution', 'NodeNext')",3
"('target', 'ES5')",3
"('moduleResolution', 'Node')",12
"('noUncheckedIndexedAccess', True)",9
"('allowUnreachableCode', False)",27
"('allowUnusedLabels', False)",22
"('declarationMap', True)",8
"('incremental', False)",2
"('target', 'es2017')",6
"('inlineSources', True)",2
"('rootDir', 'src')",4
"('noImplicitReturns', True)",39
"('strictPropertyInitialization', False)",2
"('jsxFactory', 'h')",6
"('lib', 'scripthost')",9
"('newLine', 'LF')",6
"('jsxImportSource', 'solid-js')",2
"('types', 'solid-js')",2
"('types', '@testing-library/jest-dom')",3
"('suppressImplicitAnyIndexErrors', True)",7
"('outDir', './dist/out-tsc')",8
"('declaration', False)",15
"('lib', 'es2018')",10
"('noImplicitUseStrict', False)",20
"('noStrictGenericChecks', False)",20
"('emitDecoratorMetadata', True)",15
"('strict', False)",10
"('target', 'es2022')",3
"('typeRoots', 'node_modules/@types')",9
"('lib', 'es2020')",4
"('target', 'ES2020')",7
