commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a55152892c4c8beee539dc22d4da6e071596331f,2021-07-11 03:41:19+00:00,"['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']",,,"{'added': ['@rokku/icons', 'classnames', 'react-transition-group'], 'removed': []}","{'added': ['@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript'], 'removed': []}"
e450db05aab7788fa7990466c4ef4e6a2c0eb123,2021-07-11 04:27:22+00:00,"['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/cli', '@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': ['@rokku/cli'], 'removed': []}"
2838de31ae1d0373bfdb7cc396f194a918a6fc55,2021-07-12 11:05:28+00:00,"['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/cli', '@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/cli', '@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e04092916e528b0d5921c17aaf7383ed737b3652,2021-07-13 02:10:56+00:00,"['@zhpfe/icons', 'classnames', 'react-transition-group']","['@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@rokku/icons', 'classnames', 'react-transition-group']","['@rokku/cli', '@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': ['@zhpfe/icons'], 'removed': ['@rokku/icons']}","{'added': ['@zhpfe/cli'], 'removed': ['@rokku/cli']}"
8eeeb1d66b5a8d15a1c4aa01be5da73860794aa7,2021-07-13 03:41:56+00:00,"['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', '@zhpfe/fabric', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@zhpfe/icons', 'classnames', 'react-transition-group']","['@rokku/fabric', '@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': ['@zhpfe/fabric'], 'removed': ['@rokku/fabric']}"
214240c92731487e2b6c813d0824d751bae49365,2021-07-13 05:19:18+00:00,"['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', '@zhpfe/fabric', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': ['eslint'], 'removed': []}"
b3576a30fdb46b47cdd3eefe7cd4b6a76a939a60,2021-07-13 05:32:25+00:00,"['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/enzyme', '@types/jest', '@types/react', '@types/react-dom', '@types/react-transition-group', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@types/enzyme', '@types/react-transition-group']}"
70b18e6afc151ea41549d6379fbd4a08a984364b,2021-07-15 10:51:12+00:00,"['@vant/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@zhpfe/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': ['@vant/icons'], 'removed': ['@zhpfe/icons']}","{'added': [], 'removed': []}"
66875a358f0122e812ee7d8b92ef46df5998300c,2021-07-18 01:38:55+00:00,"['@vant/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@vant/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
027bfcf9120e249ed46afbbd221e65e0fcb6cc11,2021-07-18 02:38:41+00:00,"['@vant/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","['@vant/icons', 'classnames', 'react-transition-group']","['@types/classnames', '@types/jest', '@types/react', '@types/react-dom', '@zhpfe/cli', '@zhpfe/fabric', 'eslint', 'gh-pages', 'glob', 'husky', 'lint-staged', 'prettier', 'react', 'react-dom', 'react-router-dom', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
