commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
8bf3cd31c431b2fffadc747cc28b40907a1ef9ae,2018-11-24 07:04:50+00:00,[],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte']",,,"{'added': [], 'removed': []}","{'added': ['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte'], 'removed': []}"
eb9d7a60ab9a2b55d23540857d0248ec9e17cd54,2018-11-25 23:23:59+00:00,['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte']",[],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte']","{'added': ['svelte-transitions'], 'removed': []}","{'added': [], 'removed': []}"
b7fb7ba28e3dc19027d183fb44ab3675b602457f,2018-11-30 23:04:51+00:00,['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'timeUtils']",['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte']","{'added': [], 'removed': []}","{'added': ['timeUtils'], 'removed': []}"
f38440dd4f783c7642b7ea8f43ba7470be6b5935,2018-12-02 09:03:36+00:00,['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'timeUtils']",['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'timeUtils']","{'added': [], 'removed': []}","{'added': ['es6-object-assign', 'rollup-plugin-buble'], 'removed': []}"
6b13b4b4fdb3288c84420bae3e270cd8bd63fe9b,2018-12-03 21:36:16+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'svelte-transitions', 'timeUtils']",['svelte-transitions'],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'timeUtils']","{'added': [], 'removed': ['svelte-transitions']}","{'added': ['svelte-transitions'], 'removed': []}"
fc137dd3f83556cd98098515af48dfd4ff086b4e,2018-12-04 22:11:14+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'svelte-transitions', 'timeUtils']",[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'svelte-transitions', 'timeUtils']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1a78b25e3a8a479d99887624e996f7a3a8d78ab5,2018-12-05 05:04:30+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']",[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'svelte', 'svelte-transitions', 'timeUtils']","{'added': [], 'removed': []}","{'added': ['standard-version'], 'removed': []}"
cf44ceb4d6647b3fe6618612015f00cd101fad76,2018-12-12 03:31:36+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']",[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b3078ab0aeccf79a89a2c28e7361abb3b85fcc9c,2019-01-10 17:44:32+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']",[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d42602c89235095a028e34961b47d26ce3e3cff2,2019-01-10 21:35:34+00:00,[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']",[],"['@sveltejs/svelte-virtual-list', 'es6-object-assign', 'npm-run-all', 'rollup', 'rollup-plugin-browsersync', 'rollup-plugin-buble', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-svelte', 'rollup-plugin-terser', 'sirv-cli', 'standard-version', 'svelte', 'svelte-transitions', 'timeUtils']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
