commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3dc9b8d1b7e205a00749d09e620dd4160f93cd1b,2017-06-23 11:55:01+00:00,"['bootstrap', 'del', 'gulp', 'jquery', 'tether']","['browser-sync', 'chart.js', 'font-awesome', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'run-sequence']",,,"{'added': ['bootstrap', 'del', 'gulp', 'jquery', 'tether'], 'removed': []}","{'added': ['browser-sync', 'chart.js', 'font-awesome', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'run-sequence'], 'removed': []}"
95c1f5ee631aaa43bd78956e5cada01f894e6794,2017-08-02 05:07:05+00:00,"['bootstrap', 'del', 'gulp', 'jquery', 'perfect-scrollbar', 'tether']","['browser-sync', 'chart.js', 'font-awesome', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'run-sequence']","['bootstrap', 'del', 'gulp', 'jquery', 'tether']","['browser-sync', 'chart.js', 'font-awesome', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'run-sequence']","{'added': ['perfect-scrollbar'], 'removed': []}","{'added': [], 'removed': []}"
28e47aae2a7c4473be54da01367ceaf12aeef406,2017-10-11 09:19:21+00:00,"['bootstrap', 'chart.js', 'jquery', 'perfect-scrollbar', 'popper.js', 'font-awesome']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","['bootstrap', 'del', 'gulp', 'jquery', 'perfect-scrollbar', 'tether']","['browser-sync', 'chart.js', 'font-awesome', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'run-sequence']","{'added': ['chart.js', 'popper.js', 'font-awesome'], 'removed': ['del', 'tether', 'gulp']}","{'added': ['gulp-minify-css', 'compass-mixins', 'gulp-inject-partials', 'minimatch'], 'removed': ['chart.js', 'font-awesome']}"
83ec5912e923b6206597cc9a21ed310f33481f7f,2017-10-13 12:42:11+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'jquery', 'perfect-scrollbar', 'popper.js']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'jquery', 'perfect-scrollbar', 'popper.js', 'font-awesome']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","{'added': ['flag-icon-css'], 'removed': []}","{'added': [], 'removed': []}"
2a4b7c79c48867418d25dd780032c518f8dc513f,2018-01-19 16:50:45+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'jquery', 'perfect-scrollbar', 'popper.js']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'jquery', 'perfect-scrollbar', 'popper.js']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ca83fef7e9708451581678daee55f0444166d499,2018-02-09 13:34:27+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'jquery', 'perfect-scrollbar', 'popper.js']","['browser-sync', 'compass-mixins', 'gulp', 'gulp-bower-src', 'gulp-concat', 'gulp-filter', 'gulp-inject', 'gulp-inject-partials', 'gulp-minify-css', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'gulp-uglify', 'main-bower-files', 'minimatch', 'run-sequence']","{'added': ['simple-line-icons', 'mdi', 'gulp-sourcemaps'], 'removed': ['perfect-scrollbar']}","{'added': ['del'], 'removed': ['gulp-minify-css', 'gulp-uglify', 'gulp-concat', 'main-bower-files', 'gulp-bower-src', 'gulp-filter']}"
3a7ee02c1c33c322d43c0fb19a45cb18b0f85086,2018-02-22 00:33:46+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
62dead8c3bf29961e8624abdfdbdae05df1c39cb,2018-05-28 12:10:13+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-concat', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","{'added': [], 'removed': []}","{'added': ['gulp-concat'], 'removed': []}"
2186e02e1fd84848536bd94413a0dcc607bd2d1e,2018-05-30 06:39:20+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-concat', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-concat', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c2b13e2d6999ef37bdad09f7e3e1ea0ac67303cb,2018-08-13 09:34:15+00:00,"['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-concat', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'merge-stream', 'minimatch', 'run-sequence']","['bootstrap', 'chart.js', 'flag-icon-css', 'font-awesome', 'gulp-sourcemaps', 'jquery', 'mdi', 'popper.js', 'simple-line-icons']","['browser-sync', 'compass-mixins', 'del', 'gulp', 'gulp-concat', 'gulp-inject', 'gulp-inject-partials', 'gulp-rename', 'gulp-replace', 'gulp-sass', 'minimatch', 'run-sequence']","{'added': [], 'removed': []}","{'added': ['merge-stream'], 'removed': []}"
