commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
8829544fe291d63346b2c9d554d2566c6677f52e,2016-01-29 03:57:54+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f0cef391e330162e749d196ca69c4d9feec960e,2016-01-31 21:50:50+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e999a4d53d4109e12e0700765c18fdfd323b5368,2016-03-03 20:01:39+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
17429a0acd5a9439f9ff350c4c0305a2359fd245,2016-03-03 20:39:00+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fc9289c40ecae1b3edfda86e48e437368bfe34c0,2016-03-05 08:58:46+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
816a643b62c068b6d90a6c951f7cb5918c84e558,2016-03-05 09:09:48+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7624c032ca222c55750eea3994e58d830f1d55c0,2016-03-08 20:16:00+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
320fc5dec7c4b928dd4b2b331987877c42e897d8,2016-03-09 01:38:02+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c414a7ae30e505cd8bf4d6cee3cdb48ac26b6670,2016-03-14 17:07:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d799c5ce11293dffe25556c172eeffd318bdfc5c,2016-03-15 18:44:52+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e717be0f386da842b2a6dc1082e53b042729870e,2016-03-22 21:23:08+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8df0feabfc68d476fa67ce7244b34ed5d7ceac0f,2016-03-23 16:45:38+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2a1f80d39a40712793a0e72b9f9aaab43159d5a1,2016-03-28 18:21:13+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
eebd1b28f1708d583b7b9747ceec6c6082898dd8,2016-04-04 10:43:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d2581658c67ed82fa4a1355502f12219b0b861b7,2016-04-11 00:24:07+00:00,[],['ava'],[],[],"{'added': [], 'removed': []}","{'added': ['ava'], 'removed': []}"
b61edfb6453c368d2296d89589c40ab8612ee29f,2016-04-11 18:28:57+00:00,[],['ava'],[],['ava'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
954df37ed86468771cf015ee8ae96b0d6901c5ad,2016-04-15 00:49:25+00:00,[],"['ava', 'eslint', 'eslint-config-rackt']",[],['ava'],"{'added': [], 'removed': []}","{'added': ['eslint', 'eslint-config-rackt'], 'removed': []}"
