commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
e315a35982e4f405a8a27fe5580626c97da350e6,2019-04-12 04:23:33+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-typescript', '@vue/cli-service', 'fibers', 'sass', 'sass-loader', 'stylus', 'stylus-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']",,,"{'added': ['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vuetify', 'vuex'], 'removed': []}","{'added': ['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-typescript', '@vue/cli-service', 'fibers', 'sass', 'sass-loader', 'stylus', 'stylus-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader'], 'removed': []}"
021c7c6b1f89c7c22e628d3f15d525580713915c,2019-04-19 07:16:32+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-typescript', '@vue/cli-service', 'fibers', 'sass', 'sass-loader', 'stylus', 'stylus-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-typescript', '@vue/cli-service', 'fibers', 'sass', 'sass-loader', 'stylus', 'stylus-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2cb05babcdd2b119903069ea844bae2b71312db3,2019-08-31 10:35:00+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'eslint-plugin-vuetify', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-typescript', '@vue/cli-service', 'fibers', 'sass', 'sass-loader', 'stylus', 'stylus-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': ['vue-router'], 'removed': []}","{'added': ['eslint', '@vue/eslint-config-typescript', '@vue/cli-plugin-eslint', 'babel-eslint', 'eslint-plugin-vuetify', 'node-sass', '@vue/cli-plugin-pwa', 'eslint-plugin-vue', '@vue/eslint-config-airbnb'], 'removed': ['stylus', 'stylus-loader', 'fibers']}"
6f03a8632c46e2c4114060e265a5d12e2ed3165c,2019-09-13 16:14:49+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'eslint-plugin-vuetify', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': ['eslint-plugin-vuetify']}"
99ecdb84a6974c22119ee3ce5cf32c35e1c59cc9,2019-09-13 19:19:35+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'register-service-worker', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': ['register-service-worker']}","{'added': [], 'removed': []}"
24122140203099378febd3c479c3e881c6d551f8,2019-09-14 13:05:21+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a19926310176eb888f5370ab743f77b6feab7a8f,2019-09-16 16:02:26+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass', 'sass-loader', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': ['@vue/test-utils', 'lint-staged', '@types/jest', 'babel-core', 'ts-jest', '@vue/cli-plugin-unit-jest'], 'removed': []}"
2a8af3e881ca5e36426dc2868a7548583cff239c,2019-10-16 06:24:59+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f83300ebdf8c8e0c8a439e5f36c9d75b9aa321b2,2019-10-16 06:27:27+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-pwa', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@vue/cli-plugin-pwa']}"
dadd0ea9d7784f2703a4c02195991a8949469730,2019-12-31 09:48:16+00:00,"['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","['@mdi/font', 'axios', 'core-js', 'dayjs', 'lodash', 'roboto-fontface', 'vue', 'vue-router', 'vuetify', 'vuex']","['@types/jest', '@types/lodash', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-typescript', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/eslint-config-airbnb', '@vue/eslint-config-typescript', '@vue/test-utils', 'babel-core', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'lint-staged', 'node-sass', 'sass', 'sass-loader', 'ts-jest', 'typescript', 'vue-cli-plugin-vuetify', 'vue-template-compiler', 'vuetify-loader']","{'added': [], 'removed': []}","{'added': ['@vue/cli-plugin-vuex', '@vue/cli-plugin-router'], 'removed': ['babel-core', 'babel-eslint', 'node-sass']}"
