commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
e92ae478bab848cc373531b720514cc583d53c32,2020-12-18 00:18:57+00:00,[],"['eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'prettier']",,,"{'added': [], 'removed': []}","{'added': ['eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'prettier'], 'removed': []}"
b97882ca9857edc0348b7174c58822e304dcf5ae,2020-12-18 23:56:22+00:00,['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'link-parent-bin', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']",[],"['eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'prettier']","{'added': ['@decathlon/vitamin-css'], 'removed': []}","{'added': ['postcss-import', '@storybook/addon-links', '@storybook/addon-essentials', 'npm-run-all', 'postcss-cli', 'babel-loader', '@storybook/addon-actions', '@babel/core', 'chokidar-cli', 'cross-env', '@storybook/html', 'link-parent-bin', 'autoprefixer', 'postcss'], 'removed': []}"
5a34497df1ab9a0680677a31cff6fa77c17816f1,2020-12-22 12:59:23+00:00,['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']",['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'link-parent-bin', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': ['link-parent-bin']}"
d916437d7eba0a617ce4e86ce166417278190b14,2020-12-22 13:03:57+00:00,['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']",['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e3db09c150a87ab6bc9055657b2d338e3f4c3a2d,2020-12-22 14:34:21+00:00,['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']",['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'autoprefixer', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss', 'postcss-cli', 'postcss-import', 'prettier']","{'added': [], 'removed': []}","{'added': ['postcss-loader'], 'removed': ['autoprefixer', 'postcss']}"
84a303653082278a5b8bf0d72b2a3dcaa76caa8a,2020-12-23 10:18:19+00:00,[],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']",['@decathlon/vitamin-css'],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']","{'added': [], 'removed': ['@decathlon/vitamin-css']}","{'added': ['eslint-plugin-jsx-a11y', 'eslint-plugin-import', 'eslint-plugin-react'], 'removed': []}"
39fa28713f68caeaeff16f8f43e569294451835a,2020-12-23 10:19:26+00:00,[],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']",[],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d5ffb37f204dc90481a888b5d8a5c4ddbbae8915,2020-12-23 10:59:03+00:00,[],"['eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'prettier']",[],"['@babel/core', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/html', 'babel-loader', 'chokidar-cli', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'npm-run-all', 'postcss-cli', 'postcss-import', 'postcss-loader', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': ['postcss-import', '@storybook/addon-links', 'postcss-cli', 'babel-loader', '@storybook/addon-actions', '@babel/core', 'chokidar-cli', 'postcss-loader', 'cross-env', '@storybook/html', 'npm-run-all', '@storybook/addon-essentials']}"
d9a24b28f2b34a81b03ec864f70c01f4c9dcfc4c,2020-12-23 13:13:05+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'prettier']",[],"['eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'prettier']","{'added': [], 'removed': []}","{'added': ['@commitlint/config-conventional', '@commitlint/cli'], 'removed': []}"
fc5f86a834c5cf50e5d7b3ebe576b92a99e3cde9,2020-12-23 13:36:43+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'prettier']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'lerna', 'lint-staged', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
