commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
374c307f968663c6796880fc606e8c8a58366b1c,2020-12-18 18:01:33+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts', 'web-vitals']",[],,,"{'added': ['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts', 'web-vitals'], 'removed': []}","{'added': [], 'removed': []}"
34cc7149bb6a28e6227f588f4c5a7edd61c3bb7a,2020-12-23 12:56:40+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts', 'web-vitals']",[],"{'added': ['react-router-dom'], 'removed': []}","{'added': [], 'removed': []}"
d9d9549d876bda0f2879ee9a097395817bf40568,2021-02-15 15:40:48+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2ad22ce861e4336556c06c84efbcfdc3654a2e6b,2021-03-16 13:49:04+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",['@testing-library/user-event'],"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"{'added': [], 'removed': ['@testing-library/user-event']}","{'added': ['@testing-library/user-event'], 'removed': []}"
33a210e3a07b0232135efd2b5a2baf37beae2426,2021-04-06 14:43:14+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']",['@testing-library/user-event'],"{'added': [], 'removed': []}","{'added': ['eslint-plugin-jsx-a11y', 'eslint', 'eslint-plugin-jest', 'prettier', 'eslint-plugin-react-hooks', 'eslint-plugin-import', 'eslint-plugin-prettier', 'eslint-config-prettier', 'eslint-config-airbnb', 'eslint-plugin-react'], 'removed': []}"
c4bc6b92f2704dbd3180920677bb245121209c67,2021-04-09 09:20:23+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ea352e55312c3bcff544a4224cfc7dccb68d8494,2021-04-09 11:08:49+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'history', 'prop-types', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","{'added': ['history', 'prop-types'], 'removed': []}","{'added': [], 'removed': []}"
1e0b84206686b937a33cd2f6ba89cc828f0ddc2d,2021-06-24 21:03:42+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'history', 'prop-types', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@babel/plugin-syntax-jsx', '@babel/preset-react', '@testing-library/user-event', 'babel-eslint', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'npm-run-all', 'react', 'react-dom']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'history', 'prop-types', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@testing-library/user-event', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier']","{'added': [], 'removed': []}","{'added': ['react', '@babel/plugin-syntax-jsx', 'eslint-plugin-node', 'npm-run-all', 'babel-eslint', 'eslint-config-standard-react', '@babel/preset-react', 'cross-env', 'eslint-config-standard', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'react-dom', 'eslint-plugin-promise'], 'removed': []}"
f85fc34b2d08210d33ccccc88b8cf0721c6dac35,2021-06-29 16:10:29+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'prop-types', 'react', 'react-dom', 'react-scripts', 'react-router-dom', 'history', 'uuid', 'web-vitals']","['@babel/plugin-syntax-jsx', '@babel/preset-react', '@testing-library/user-event', 'babel-eslint', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'npm-run-all']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'history', 'prop-types', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@babel/plugin-syntax-jsx', '@babel/preset-react', '@testing-library/user-event', 'babel-eslint', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'npm-run-all', 'react', 'react-dom']","{'added': ['uuid'], 'removed': []}","{'added': [], 'removed': ['react-dom', 'react']}"
3af6d97b433404337e607373ae0e8dcb3e988ccc,2021-06-29 18:20:49+00:00,"['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'history', 'prop-types', 'react', 'react-dom', 'react-router-dom', 'react-scripts', 'web-vitals']","['@babel/plugin-syntax-jsx', '@babel/preset-react', '@testing-library/user-event', 'babel-eslint', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'npm-run-all', 'react', 'react-dom']","['@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@testing-library/jest-dom', '@testing-library/react', 'prop-types', 'react', 'react-dom', 'react-scripts', 'react-router-dom', 'history', 'uuid', 'web-vitals']","['@babel/plugin-syntax-jsx', '@babel/preset-react', '@testing-library/user-event', 'babel-eslint', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'prettier', 'eslint-plugin-standard', 'gh-pages', 'microbundle-crl', 'npm-run-all']","{'added': [], 'removed': ['uuid']}","{'added': ['react-dom', 'react'], 'removed': []}"
