commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
f99dd55ec114d1d1dcb43d4db1df0886bdf98726,2015-05-26 20:23:18+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']",,,"{'added': ['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr'], 'removed': []}","{'added': ['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify'], 'removed': []}"
00a6af51eccfc568e9e9fba0f3e59bee7860d4f1,2015-05-26 20:54:34+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ae9b0d6e6822cefa480029a2fef4f73d539993d4,2015-05-26 22:05:34+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f1b9a3b9c7a39c1c698598d85ea55380cfd7fbb6,2015-05-26 22:25:32+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e5534b00ee6a6b27f48159f60acb8a7ea20687d2,2015-05-26 23:37:00+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jscs', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': ['jscs']}"
4372a7c0019b42a85b15ab987dc2e4646717fcbd,2015-05-27 23:24:57+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f26b3ef66ed448c085216cc2de5f09ef81936bce,2015-05-28 17:33:16+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8d1fd15a338ea904689d7c25ee5ab566e9970421,2015-05-28 21:51:25+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
69e2ffe4a5bc19f291917bed6d43891f30a0e111,2015-05-28 22:02:03+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
678b36d32ee9577d0983aebace01d1e40bbaa841,2015-05-29 22:06:58+00:00,"['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","['async', 'aws-sdk', 'babel', 'body-parser', 'chokidar', 'clone', 'coffee-script', 'colors', 'commander', 'errorhandler', 'escodegen', 'esprima', 'estraverse', 'express', 'famous', 'fs-walk', 'jade', 'jsdom', 'less', 'lodash', 'merge-defaults', 'mkdirp', 'morgan', 'mustache', 'request', 'stylus', 'traverse', 'xhr']","['babelify', 'browser-sync', 'browserify', 'envify', 'eslint', 'jsdoc', 'jshint', 'livereload', 'node-watch', 'nodemon', 'serve', 'smokestack', 'tap-closer', 'tap-spec', 'tape', 'testling', 'uglify-js', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
