commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
ebca7fe0f79670b93aa751aa14aef9e5a54780d4,2021-12-30 03:49:13+00:00,[],['typescript'],,,"{'added': [], 'removed': []}","{'added': ['typescript'], 'removed': []}"
6a883f87c11b96bfa19c12be47de1fbb380d2db2,2021-12-30 04:02:28+00:00,[],['typescript'],[],['typescript'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ab292f7c51b83216e1bff3fdf21721d56d003a8b,2022-01-12 21:35:09+00:00,[],['typescript'],[],['typescript'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4e03bda49a9b46c94b447f856ec74b9017ece0c7,2022-04-30 02:53:38+00:00,[],['typescript'],[],['typescript'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c6d223e69f6800dc6d4cd14cd14b6e0a49219e8a,2022-05-03 21:32:51+00:00,[],['typescript'],[],['typescript'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f8172a0bdd21331bd5f2c4afa45dbec796168513,2022-05-30 16:36:11+00:00,[],"['npm-run-all', 'typescript']",[],['typescript'],"{'added': [], 'removed': []}","{'added': ['npm-run-all'], 'removed': []}"
5d221627145b4059603a77bd7e8bfd3c4bc76dca,2022-07-02 14:01:24+00:00,[],"['npm-run-all', 'typescript']",[],"['npm-run-all', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c993bc0aede50ae258a36b63c5a00a3472554a12,2022-07-26 23:41:55+00:00,[],"['@npmcli/map-workspaces', 'fs-extra', 'inquirer', 'match-sorter', 'npm-run-all', 'typescript']",[],"['npm-run-all', 'typescript']","{'added': [], 'removed': []}","{'added': ['inquirer', 'match-sorter', 'fs-extra', '@npmcli/map-workspaces'], 'removed': []}"
56e5272e352d194c1101880460fdf30da2bc5acf,2022-07-28 22:13:13+00:00,['esbuild-register'],"['@types/inquirer', '@types/inquirer-autocomplete-prompt', 'fs-extra', 'inquirer', 'inquirer-autocomplete-prompt', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']",[],"['@npmcli/map-workspaces', 'fs-extra', 'inquirer', 'match-sorter', 'npm-run-all', 'typescript']","{'added': ['esbuild-register'], 'removed': []}","{'added': ['@types/inquirer', 'mdast-util-from-markdown', '@types/inquirer-autocomplete-prompt', 'inquirer-autocomplete-prompt', 'unist-util-visit'], 'removed': ['@npmcli/map-workspaces']}"
25050b89b867e81c4a034fd85b2ec2bf0838ec2a,2022-07-28 22:22:36+00:00,"['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']",['esbuild-register'],"['@types/inquirer', '@types/inquirer-autocomplete-prompt', 'fs-extra', 'inquirer', 'inquirer-autocomplete-prompt', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']","{'added': ['@prisma/client', 'prisma'], 'removed': ['esbuild-register']}","{'added': ['esbuild-register'], 'removed': ['@types/inquirer-autocomplete-prompt', 'inquirer-autocomplete-prompt']}"
4a817498140fc0e8b79e6efe081ff83099ed440b,2022-07-29 23:00:16+00:00,"['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']","['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9fa1e2722d0f81a942588108d4aaca45815ad73a,2022-07-31 04:39:01+00:00,"['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'prettier', 'typescript', 'unist-util-visit']","['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'typescript', 'unist-util-visit']","{'added': [], 'removed': []}","{'added': ['prettier'], 'removed': []}"
a32ac13921631ffbe532051cd96bd2ea0aa14008,2022-08-01 16:28:37+00:00,"['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'glob', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'prettier', 'typescript', 'unist-util-visit']","['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'prettier', 'typescript', 'unist-util-visit']","{'added': [], 'removed': []}","{'added': ['glob'], 'removed': []}"
d418257c6193aadb5c72bf1a1422c13b4318f3db,2022-08-02 04:25:56+00:00,"['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'glob', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'prettier', 'typescript', 'unist-util-visit']","['@prisma/client', 'prisma']","['@types/inquirer', 'esbuild-register', 'fs-extra', 'glob', 'inquirer', 'match-sorter', 'mdast-util-from-markdown', 'npm-run-all', 'prettier', 'typescript', 'unist-util-visit']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
