commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7739297d392c7b514e063e76d8534d9fe9b3d8be,2016-09-27 05:31:22+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']",,,"{'added': ['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools'], 'removed': []}","{'added': ['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server'], 'removed': []}"
c5e2c9de8ec6c19dac760ae2974b458b5d20f465,2016-10-06 10:11:35+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
60fd4a31427b87367e56cde81d6fa3e264d33e95,2016-10-07 13:47:05+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
76220e3d9ff3ead6b50c1ec1326f80d48c94e9ac,2016-10-14 14:47:45+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
15529e5d5a63b250b742ae7cd80cae04f8634b89,2016-10-18 13:32:22+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7c3a812eada4cf73fe90a0d84727dbb2da2e90bc,2016-11-09 13:08:49+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'mocha', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': ['react-native-navigation-redux-helpers'], 'removed': []}","{'added': ['jest-react-native', 'react-test-renderer', 'babel-preset-react-native', 'babel-jest', 'jest'], 'removed': []}"
01ba0283af6a21f6ab5a2a97d9ea67187f47abfa,2016-11-29 08:31:39+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
22a4795c1883d2efd720aac6e8c71c17c7fa677e,2016-12-07 09:21:29+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7a91a380fb4c9b2b3126c3265349d250ffcd5342,2016-12-08 06:36:17+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-scrollable-tab-view', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-form', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': ['redux-form', 'react-native-scrollable-tab-view'], 'removed': []}","{'added': [], 'removed': []}"
4befeeaa8f149af780c37cbee435b894f44f7a36,2016-12-10 18:04:05+00:00,"['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","['color', 'lodash', 'moment', 'native-base', 'react', 'react-native', 'react-native-code-push', 'react-native-easy-grid', 'react-native-modalbox', 'react-native-navigation-redux-helpers', 'react-native-scrollable-tab-view', 'react-native-vector-icons', 'react-redux', 'redux', 'redux-form', 'redux-persist', 'redux-thunk', 'remote-redux-devtools']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'chai', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-native', 'jest', 'jest-react-native', 'mocha', 'react-test-renderer', 'remote-redux-devtools-on-debugger', 'remotedev-server']","{'added': [], 'removed': ['redux-form', 'react-native-scrollable-tab-view']}","{'added': [], 'removed': []}"
