commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
210dea3a41dca8de6b267acaac82bffee8489e08,2016-04-13 09:27:43+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1702224571f9416624cf195b9bc87ac0e782f553,2016-04-18 07:56:54+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
835d6787e416304eac41cd5f2fd0918da4ed7d04,2016-04-18 09:27:32+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fbababac99b8c6de0bdb0e9d3ebfc2a628baffb7,2016-04-19 04:50:39+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1fb97d3eb9a9ee995dfd5dea14f4257bae03c2e2,2016-04-19 05:06:17+00:00,"['color', 'multiplier']",[],[],[],"{'added': ['color', 'multiplier'], 'removed': []}","{'added': [], 'removed': []}"
1693073f9b20dcef5dd7d800c9b3ae456e14b872,2016-04-19 12:32:05+00:00,"['color', 'multiplier']",[],"['color', 'multiplier']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f2d1c55dca052b2870539d624f97c7e3d85815a,2016-04-19 12:55:40+00:00,"['color', 'multiplier', 'lodash']",[],"['color', 'multiplier']",[],"{'added': ['lodash'], 'removed': []}","{'added': [], 'removed': []}"
e005675460b1d7eb66b63d0a5888ec03d329bef2,2016-04-20 06:45:04+00:00,"['color', 'multiplier', 'lodash']",[],"['color', 'multiplier', 'lodash']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7f653a779ddd7752a19abc4b4dded146ff5236b0,2016-04-20 13:07:33+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"['color', 'multiplier', 'lodash']",[],"{'added': ['react-native-checkbox'], 'removed': []}","{'added': [], 'removed': []}"
eb9bafa3b1113dd3e69d135212f8aee33549ea64,2016-04-22 06:30:05+00:00,"['color', 'lodash', 'multiplier', 'react', 'react-native', 'react-native-checkbox']",[],"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"{'added': ['react', 'react-native'], 'removed': []}","{'added': [], 'removed': []}"
b97aafb52a0312d1e614bb6188050a84f9eaf939,2016-04-22 13:29:37+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"['color', 'lodash', 'multiplier', 'react', 'react-native', 'react-native-checkbox']",[],"{'added': [], 'removed': ['react', 'react-native']}","{'added': [], 'removed': []}"
17d5139aea54087a337988597850d41d9633776c,2016-04-26 12:31:58+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f4ce29d6a07982159b7f23b7361628a53e9266d1,2016-04-26 13:49:56+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9fce831950d0397a1520ae828ec37f650ab7f849,2016-05-04 07:53:30+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'multiplier', 'react-native-checkbox']",[],"{'added': [], 'removed': []}","{'added': ['eslint-plugin-react-native', 'babel-eslint', 'eslint-plugin-react', 'eslint'], 'removed': []}"
e8049a042b6d6cd14dc2bb107772976ef92a5609,2016-05-05 12:22:59+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5529564fb4f3ac2c674a14c0ccfcf037b36e6e69,2016-05-10 13:36:06+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0a6c01e039d85b96b17ae2fdf65ba41605e74188,2016-05-11 05:44:00+00:00,"['color', 'lodash', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","{'added': [], 'removed': ['multiplier']}","{'added': [], 'removed': []}"
effae84f1d500d00a3cf4fcd3c4079891aa3e69e,2016-05-26 05:52:05+00:00,"['color', 'lodash', 'react-native-checkbox', 'react-native-drawer']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","{'added': ['react-native-drawer'], 'removed': []}","{'added': [], 'removed': []}"
8c296b8d6bda6e2e5943cf1d56eba378caafa4c8,2016-05-31 07:50:41+00:00,"['color', 'lodash', 'multiplier', 'react-native-checkbox']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","['color', 'lodash', 'react-native-checkbox', 'react-native-drawer']","['babel-eslint', 'eslint', 'eslint-plugin-react', 'eslint-plugin-react-native']","{'added': ['multiplier'], 'removed': ['react-native-drawer']}","{'added': [], 'removed': []}"
