commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
358a6c87d6bc68040f842676ffd643b88d9c93a4,2022-01-11 13:01:06+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']",,,"{'added': ['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version'], 'removed': []}","{'added': ['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid'], 'removed': []}"
95e9ec26b5bdbf733e97bcd433e8c631e64d1981,2022-01-11 13:02:26+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2ef9aeaeb0a816284e1bc8a64af3b147f7c382ff,2022-01-11 13:06:31+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5891f1aeaa93bd908d6b9fca30540fc9b3d26f9f,2022-01-12 17:17:22+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-json', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup-plugin-ignore', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': ['obsidian'], 'removed': []}"
2123c1e8b962fc67cb5afcb764c5e21892dfcad2,2022-01-12 17:17:32+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a9d31d1b479a34664ab777ce9b4f21516b88e652,2022-01-13 21:48:50+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a2c81a546f271b90a166d5bc908e09e9b6db7906,2022-01-14 19:55:26+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
82735378f2d99a4954edb29b1b34c3ff3f2d4574,2022-01-15 13:34:03+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9a9db3a83d2c27c4d188763803b9731880ab2939,2022-01-15 14:11:14+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f415884fcd11cdaeb0813b1cc506b9cc17964d5a,2022-01-15 21:17:51+00:00,"['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","['@mdi/js', 'cytoscape', 'cytoscape-avsdf', 'cytoscape-cola', 'cytoscape-cose-bilkent', 'cytoscape-cxtmenu', 'cytoscape-d3-force', 'cytoscape-dagre', 'cytoscape-dblclick', 'cytoscape-navigator', 'cytoscape-popper', 'juggl-api', 'search-query-parser', 'standard-version']","['@egjs/hammerjs', '@rollup/plugin-commonjs', '@rollup/plugin-json', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/cytoscape', '@types/jquery', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'component-emitter', 'eslint', 'eslint-config-google', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'hammerjs', 'keycharm', 'moment', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-ignore', 'rollup-plugin-sourcemaps', 'rollup-plugin-svelte', 'obsidian', 'svelte', 'svelte-check', 'svelte-preprocess', 'timsort', 'tslib', 'typescript', 'uuid']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
