commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0a9b8f6e734627250c59912c07157314e2805f4e,2017-02-22 18:00:04+00:00,[],"['async', 'cli-color', 'fs-extra', 'lerna', 'lodash', 'moment', 'semver', 'yargs']",,,"{'added': [], 'removed': []}","{'added': ['async', 'cli-color', 'fs-extra', 'lerna', 'lodash', 'moment', 'semver', 'yargs'], 'removed': []}"
3707e7658dc6df0951855180739771a15d83c21c,2017-02-22 18:17:58+00:00,[],"['async', 'cli-color', 'fs-extra', 'lerna', 'lodash', 'moment', 'semver', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lerna', 'lodash', 'moment', 'semver', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b4f1f46b63a29401e63a1f43b8d78cdd28889446,2017-02-22 19:14:06+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lerna', 'lodash', 'moment', 'semver', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': ['lerna']}"
374722f8ae0066737d866417e051b997fc1b6e72,2017-02-22 19:36:30+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f551e0549bafccfb52404e004c75b0f9efed0ae0,2017-02-22 20:12:37+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'yargs']","{'added': [], 'removed': []}","{'added': ['snazzy', 'standard'], 'removed': []}"
642bbfd43a9d29d5ae07a5815cad15a4a237cc6a,2017-02-22 20:13:06+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dcf8fa913713c383fda1e5f5d9afcc8742ec7d3d,2017-02-22 20:18:59+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
53574c71a1447e37a65934f0a6639c77cbff8dc9,2017-02-22 20:50:47+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e020f78182282916f81d6bc5e5e82ff2ce1a8f5b,2017-02-23 13:54:58+00:00,[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dd1062a2d82a56f59e39b9c89b4865c5d63d1500,2017-02-23 16:16:42+00:00,[],"['async', 'cli-color', 'dependency-graph', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']",[],"['async', 'cli-color', 'fs-extra', 'lodash', 'moment', 'semver', 'snazzy', 'standard', 'yargs']","{'added': [], 'removed': []}","{'added': ['dependency-graph'], 'removed': []}"
