commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b2babb47e7b3203f4f25a5d50ca72a1e7bd6c15f,2018-09-10 18:18:42+00:00,"['lodash', 'normalize.css', 'nuxt']","['autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']",,,"{'added': ['lodash', 'normalize.css', 'nuxt'], 'removed': []}","{'added': ['autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader'], 'removed': []}"
43a5acddfadb6c4e99553479c649a9c19a89270f,2018-09-12 20:42:37+00:00,"['lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['lodash', 'normalize.css', 'nuxt']","['autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': [], 'removed': []}","{'added': ['@vue/eslint-config-prettier'], 'removed': []}"
4223ea1cfad7add46912de62198a228747f91ecf,2018-09-19 12:14:18+00:00,"['balloon-css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': ['balloon-css'], 'removed': []}","{'added': [], 'removed': []}"
d61ce0b0026346ec990d2c084bc9282998e969a5,2018-09-19 12:26:20+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['balloon-css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': ['hint.css'], 'removed': ['balloon-css']}","{'added': [], 'removed': []}"
2240970def9a8ad5d985c12b06888eb8d19070d4,2018-10-02 09:37:11+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a70a23e7f3aa8fed1c025adb7a48de3aef31ad0d,2018-10-02 16:06:47+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5882b9a4f7af03ddb0eaf272d1b331f31005e90f,2018-10-02 16:25:31+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","{'added': [], 'removed': []}","{'added': ['push-dir'], 'removed': []}"
d1b86b73215750e900dfd6e2b0bc42e982639be8,2018-10-04 14:39:53+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8008811d0d2f31767e5d8db3d50ee17866aa1579,2018-10-04 15:03:16+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
871b35981b9f63af5c5501ca85dfb727985b97b8,2018-10-05 20:41:18+00:00,"['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'sass-loader']","['hint.css', 'lodash', 'normalize.css', 'nuxt']","['@vue/eslint-config-prettier', 'autoprefixer', 'babel-eslint', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'node-sass', 'nuxt-sass-resources-loader', 'pug', 'pug-plain-loader', 'push-dir', 'sass-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': ['push-dir']}"
