commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0f4ff336bc1a5ddf46505a84a0b53cc7c387c5a3,2022-03-28 12:38:07+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",,,"{'added': ['lodash'], 'removed': []}","{'added': ['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server'], 'removed': []}"
2b7bb27006f041edc6b972c25433a4b074d3d73b,2022-03-28 13:00:25+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
898caf0cfa3488cfa8a05af448071751a72fc84d,2022-03-28 13:04:05+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d33222e546b335b9fbda0f5661bf5168173d9891,2022-04-25 15:28:30+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dcdaded7ce86ba450df2d3c914ab3f2d55b0fec0,2022-04-29 16:04:55+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b39e2db25e08155482add64902282342b892823d,2022-05-12 11:29:17+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['eslint-plugin-jsx-a11y', 'eslint-plugin-react-hooks', 'eslint-plugin-react'], 'removed': []}"
f56e27eddb295811eb8ed389787fb648a2fb33f1,2022-05-12 11:33:00+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1bcadfa50aa123680f268832d7af32a325b392ab,2022-06-16 16:09:04+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7314ce175ecd37579a6121b32c8985f430efd282,2022-09-07 12:01:49+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d4b68e5e789f83c872dee133c80f74590ed9190d,2022-09-08 10:30:31+00:00,['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",['lodash'],"['@types/lodash', '@types/react', '@types/react-dom', '@types/styled-components', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'eslint', 'eslint-config-airbnb', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'file-loader', 'html-webpack-plugin', 'pre-commit', 'prettier', 'react', 'react-dom', 'styled-components', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
