commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
e11f91ad68ed26e69e502b1ecbba2ca50feb2535,2024-01-30 17:33:53+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",,,"{'added': ['react'], 'removed': []}","{'added': ['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript'], 'removed': []}"
93cc2a01b8a90b90bc51717e0e5d974e774f23c7,2024-01-31 03:46:02+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4d7d1e763b19d470a4ff548161bc893bf709042e,2024-01-31 04:09:45+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f70eb2183ca0af11f8c1c6d3b55a73770543bf8b,2024-01-31 04:36:32+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7a3b54374fe2d0e54109e8f1b8dd89e16a8d2dfb,2024-01-31 04:53:33+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
035e00038079e34e135becf698e2dfe919df5423,2024-01-31 04:54:10+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3be3d862f478c9d2e716ac0823648a2055364360,2024-01-31 04:55:59+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bdf4a33d0146d788dec0495a3cf4f4601fd7983f,2024-02-02 23:37:00+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
de8ece1fa796c6e62eb394293046f64dc4772753,2024-02-02 23:37:54+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ab520b870ca989032f727faeeda3fbcf47553c75,2024-02-03 02:15:04+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
78b6cce168f4e02a1d58f4d473f1cc2689919239,2024-02-03 02:21:28+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1ef77278311e83408dfbcaa56a6a388cbfc101b2,2024-02-03 02:21:52+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a6dca10a1b5bce1e1d595dc74b50a85965b100e7,2024-02-03 02:34:53+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c62ba9aa4f03a3077395bdfd5cb02c500d435c0a,2024-02-03 03:08:43+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4fc03ba79d28af0239f163749877a39db090dd6f,2024-02-03 03:08:54+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cda5cf686149f35f999554a6efec0476616d2339,2024-02-03 03:09:24+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
00a705c053775cd8dbc4b980082614707bfdd92f,2024-02-03 03:11:36+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3e175ff815e2b6dc77b03de0bb4bbc44d6396325,2024-02-03 03:11:39+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0263ca109662bc60f74d8d014b6ba3e848d518b9,2024-02-03 03:12:02+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b62cf2a7c7d073af6b46206f31a0e95459d3cf99,2024-02-03 03:16:11+00:00,['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']",['react'],"['@swc/core', '@types/react', 'tsup', 'tsx', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
