commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7f09752a770efe060520fa34f1f09cea687d67b8,2018-03-30 16:52:34+00:00,"['react', 'react-dom']",[],,,"{'added': ['react', 'react-dom'], 'removed': []}","{'added': [], 'removed': []}"
8d39fe6ef2e8412734e9a525376f90a83645a5ea,2018-03-30 17:03:45+00:00,"['react', 'react-dom']","['@storybook/react', '@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', 'babel-core']","['react', 'react-dom']",[],"{'added': [], 'removed': []}","{'added': ['babel-core', '@storybook/addon-links', '@storybook/react', '@storybook/addon-actions', '@storybook/addons'], 'removed': []}"
9d0687821d385887676630dcd70c49aed4c97d52,2018-03-30 17:13:05+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['react', 'react-dom']","['@storybook/react', '@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', 'babel-core']","{'added': ['babel-preset-env', 'babel-preset-react'], 'removed': []}","{'added': ['babel-cli'], 'removed': []}"
a5417c3488d8a6e4b0229a417399e105dc38091e,2018-03-30 21:33:27+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': ['styled-components'], 'removed': []}","{'added': [], 'removed': []}"
332327bbb64d5066d1dc8cd84ae38320d0a992d7,2018-04-03 01:21:51+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8f0234b85d5378eed89c4ea53aa99033d7bac399,2018-04-05 00:17:03+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
16b4890bdba59db10b4831f489830290afce05d6,2018-04-06 22:02:42+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
05cd323a955efc7d611b685be0ef9ebdd0d3969f,2018-04-08 18:57:04+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fcc3749ce7a0529ab8cf1512d0f6844f7e27cf9f,2018-04-08 23:27:37+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'react-draggable', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': ['react-draggable'], 'removed': []}","{'added': [], 'removed': []}"
0acb6ccf601644160b9feb7a9be99299ecc5849d,2018-04-09 00:22:37+00:00,"['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'react-draggable', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","['babel-preset-env', 'babel-preset-react', 'react', 'react-dom', 'react-draggable', 'styled-components']","['@storybook/addon-actions', '@storybook/addon-links', '@storybook/addons', '@storybook/react', 'babel-cli', 'babel-core']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
