commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3a50b913bbb7b3457f3d08af443636921bbb7d2d,2021-09-01 16:54:19+00:00,[],['lerna'],,,"{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
550f324120a9f683f76845c08fdce44f0db63733,2021-09-14 22:21:56+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],['lerna'],"{'added': [], 'removed': []}","{'added': ['@commitlint/config-conventional', '@commitlint/cli', 'prettier', 'pretty-quick', 'husky'], 'removed': []}"
9803c8592f0bb9e0a0bf1fb4f1952ab09c2d348a,2021-11-10 16:56:53+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
65a193c606dcac2b9fb408c78f6fc3da169ca24a,2021-12-01 19:10:47+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8cf53857f2636b5e3ffec735f04c465d6c79bcea,2021-12-22 16:29:25+00:00,[],"['@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': ['@changesets/cli'], 'removed': []}"
f80930618df339b0917db823103007b6d4bdda78,2022-01-06 21:11:23+00:00,[],"['@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
838ccff805377a25657554bbb8ce2ecc6368a14e,2022-03-07 19:28:23+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@commitlint/config-conventional', '@commitlint/cli']}"
14961eb586a7d02038f0fe610cd7d744fbd68268,2022-06-22 17:17:46+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
479c17a6997d357e8c0351db6832ae036d57da59,2022-06-22 19:17:12+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
54364f1bdf9d8d1dff00028f42245181e11dd955,2022-07-18 15:59:21+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
645bcecd31bae0c874f7b5a8284e048827366a41,2022-08-18 13:13:18+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5e2608d145a8b06b6dd0832ca62dae901655787b,2022-09-09 16:18:04+00:00,[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
05acf7ef1b7e637c943b48b01e679aaac7857e5c,2022-09-26 13:57:54+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': ['@11ty/eleventy-plugin-syntaxhighlight'], 'removed': []}"
82800487a12600dc84bd859cf3593e87fd26d925,2022-10-11 17:13:02+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a6939219368b3873d24e05a19ea882598c1a724b,2022-11-21 19:14:36+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5c8431bf1f92c5dcadc192b7c8e0c8914f6d2f4a,2022-11-22 19:00:20+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b5602740c9146bd94d080315577151b2a48517ad,2022-11-22 19:43:24+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a547056796454eb88ae17c089f14d6673f71ae22,2023-06-21 13:46:39+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6b6b0034fef4462802a7da80b2afa91f6678d36f,2024-09-30 17:04:10+00:00,[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']",[],"['@11ty/eleventy-plugin-syntaxhighlight', '@changesets/cli', 'husky', 'lerna', 'prettier', 'pretty-quick']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
