commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0499b2c6afe1b6ede025d4f2212ebf210b21e0d3,2019-09-06 14:40:49+00:00,[],"['@types/react', '@types/react-native', 'eslint', 'eslint-plugin-shopify', 'prettier', 'react', 'react-native', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@types/react', '@types/react-native', 'eslint', 'eslint-plugin-shopify', 'prettier', 'react', 'react-native', 'typescript'], 'removed': []}"
bf1bf88e409bc7d32106f9a351cb9d0d495c6c7b,2019-09-09 13:07:51+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/react', '@types/react-native', 'eslint', 'eslint-plugin-shopify', 'prettier', 'react', 'react-native', 'typescript']","{'added': [], 'removed': []}","{'added': ['react-test-renderer', '@types/react-test-renderer', 'babel-jest', '@types/jest', 'jest', 'ts-jest'], 'removed': []}"
39d3e58f340f010af9306a91aa85200c3c788bf1,2019-09-10 10:06:06+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
83dce11e6e190c31917e842b2a2186c339678fd5,2019-09-10 12:44:25+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
91f50a1d43fdc853d2d203c266a4280ab15f4553,2019-09-10 12:47:26+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
753cac422d20d140d9632cb7eac8d07bff93e2ff,2019-09-10 13:04:17+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c86b96785bd9ca93af851c18de13013a329d41b3,2019-09-10 13:04:24+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a71597e01bec35825c745a23d3668f00de0b1399,2019-09-10 14:51:42+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
be42fd4c44f7ad2acddbe277ca173a80fcc7b21b,2019-09-10 14:59:04+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b16be374145cc19fa3597d4bd2725156cc99fee8,2019-09-11 09:53:55+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'eslint', 'eslint-plugin-shopify', 'jest', 'prettier', 'react', 'react-native', 'react-test-renderer', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
