commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
948b874bd93e7bf5160e6e224821b888f07d15f3,2016-04-22 03:53:24+00:00,"['solid', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']",,,"{'added': ['solid', 'rdflib'], 'removed': []}","{'added': ['browserify', 'minifyify', 'qunit', 'standard', 'tape'], 'removed': []}"
99f82f62f42945f1dcaa9d9d8a32985c228dc64a,2016-05-03 14:07:39+00:00,"['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","['solid', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': ['solid-client'], 'removed': ['solid']}","{'added': [], 'removed': []}"
ca9158ac0d3f519f0d7660ff823dd1c3f095e80b,2016-05-06 14:55:16+00:00,"['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
88544ac332d0f508d1b08c3a20d336c50346acbd,2016-05-25 11:49:58+00:00,"['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c953af2b534af2b5d99b2cb3fe04b6716e13cf5b,2016-06-03 21:29:09+00:00,"['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2af622d9e34c1589c09773a09c9c12a4dd5541fe,2016-11-01 18:24:37+00:00,"['rdflib', 'solid-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","['solid-client', 'rdflib']","['browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': ['babel-cli', 'babelify', 'babel-preset-es2015'], 'removed': []}"
d225fd72b1a142d0bc3d5fd5028c237f97ada81a,2016-11-07 15:17:47+00:00,"['escape-html', 'rdflib', 'solid-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","['rdflib', 'solid-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': ['escape-html'], 'removed': []}","{'added': [], 'removed': []}"
4da603fcb31a748c7bc318451abfb1b461e5f844,2016-11-29 19:23:40+00:00,"['escape-html', 'node-uuid', 'rdflib', 'solid-client', 'solid-web-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","['escape-html', 'rdflib', 'solid-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': ['node-uuid', 'solid-web-client'], 'removed': []}","{'added': [], 'removed': []}"
73082d6e146fad4ec48ceae88262f62a7e9352c2,2017-07-11 16:08:43+00:00,"['escape-html', 'node-uuid', 'rdflib', 'solid-client', 'solid-web-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","['escape-html', 'node-uuid', 'rdflib', 'solid-client', 'solid-web-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c9ff858ae852dbb23d286d3ac2fd548eb1a64ef2,2017-07-17 21:30:00+00:00,"['escape-html', 'node-uuid', 'rdflib', 'solid-client', 'solid-web-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","['escape-html', 'node-uuid', 'rdflib', 'solid-client', 'solid-web-client']","['babel-cli', 'babel-preset-es2015', 'babelify', 'browserify', 'minifyify', 'qunit', 'standard', 'tape']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
