commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
c5739f51fe6a3724797c2df4fc514ab41b706f7b,2020-05-08 07:25:09+00:00,"['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']",,,"{'added': ['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt'], 'removed': []}","{'added': ['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer'], 'removed': []}"
091f5195a075694d032b69dcd8ee1202baa52f1b,2020-05-08 07:26:14+00:00,"['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c9d958f3eccddf55f894373e496c2702f97be37,2020-05-13 14:02:13+00:00,"['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
85ba0295bf47160b48d690cfebd6a7084fa414c9,2020-06-30 19:48:49+00:00,"['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', '@scarf/scarf', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': ['@scarf/scarf']}","{'added': [], 'removed': []}"
e7308b6997b3d72be6af85be2ef768e3dd76d403,2020-11-17 14:53:40+00:00,"['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d20d02d37e45cb5d57bd4be492a377d7a8c6dc12,2020-12-11 10:06:38+00:00,"['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
55356390d95273f8e30f5b3413276f3213f47aa3,2021-04-15 01:00:40+00:00,"['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': ['@testing-library/jest-dom', 'react-test-renderer'], 'removed': []}"
80dba579dc42f23665ff8126f98369e9f48e9ea3,2021-04-16 14:54:27+00:00,['@reach/observe-rect'],"['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","['@reach/observe-rect', 'ts-toolbelt']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': ['ts-toolbelt']}","{'added': [], 'removed': []}"
edeefebacd5250f5db5905187fb0cada03fd2579,2021-11-21 14:28:59+00:00,['@reach/observe-rect'],"['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']",['@reach/observe-rect'],"['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
426fe5e0ec7c9008bafefd46cde53a6eb5be61bd,2022-02-06 20:15:05+00:00,[],"['@babel/core', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/parse', '@rollup/plugin-babel', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/react-hooks', '@types/luxon', '@types/node', '@types/react', 'axios', 'babel-plugin-transform-async-to-promises', 'concurrently', 'current-git-branch', 'git-log-parser', 'jest', 'lerna', 'luxon', 'prettier', 'react', 'react-dom', 'rollup', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stream-to-array', 'ts-node', 'type-fest', 'typescript']",['@reach/observe-rect'],"['@babel/core', '@babel/preset-env', '@babel/preset-react', '@rollup/plugin-replace', '@svgr/rollup', '@testing-library/jest-dom', '@testing-library/react', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-plugin-transform-async-to-promises', 'cross-env', 'dtslint', 'eslint', 'eslint-config-prettier', 'eslint-config-react-app', 'eslint-config-standard', 'eslint-config-standard-react', 'eslint-plugin-flowtype', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-node', 'eslint-plugin-prettier', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-standard', 'is-ci-cli', 'jest', 'prettier', 'react', 'react-dom', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-jscc', 'rollup-plugin-node-resolve', 'rollup-plugin-peer-deps-external', 'rollup-plugin-prettier', 'rollup-plugin-size', 'rollup-plugin-terser', 'rollup-plugin-visualizer']","{'added': [], 'removed': ['@reach/observe-rect']}","{'added': ['@types/node', 'current-git-branch', '@testing-library/react-hooks', 'type-fest', '@types/luxon', '@babel/preset-typescript', '@rollup/plugin-node-resolve', 'lerna', '@types/react', 'axios', 'git-log-parser', 'concurrently', 'ts-node', 'luxon', '@rollup/plugin-babel', '@commitlint/parse', '@babel/plugin-transform-runtime', '@babel/runtime', 'typescript', 'stream-to-array'], 'removed': ['rollup-plugin-jscc', 'eslint-plugin-flowtype', '@svgr/rollup', 'eslint-plugin-node', 'babel-jest', 'eslint-config-standard-react', 'babel-core', 'cross-env', 'eslint-config-standard', 'eslint-plugin-standard', 'eslint-plugin-promise', 'eslint-plugin-react', 'eslint-plugin-jsx-a11y', 'rollup-plugin-babel', 'dtslint', 'babel-eslint', 'eslint-config-react-app', 'rollup-plugin-prettier', 'rollup-plugin-peer-deps-external', 'eslint-plugin-react-hooks', 'eslint-plugin-import', 'eslint-plugin-prettier', 'is-ci-cli', 'eslint-config-prettier', 'eslint', 'react-test-renderer', 'rollup-plugin-node-resolve', 'rollup-plugin-commonjs']}"
