commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
85566c368f3768788d272d94a3eda88d07c3fc99,2021-12-02 09:31:49+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']",,,"{'added': ['dayjs', 'lodash', 'vite'], 'removed': []}","{'added': ['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript'], 'removed': []}"
0550673f0e8cf20d0ed5314818dd0f17918acc51,2021-12-07 08:59:00+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
db7acf3f46841ea57c214ba2f2943881fa3adbaf,2021-12-08 13:27:15+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
23276fbd6bebdfa810a77a2eadc0c8bcf6dfa246,2021-12-08 13:28:18+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f9d9137150eff200ed4e2b8b70d8c9beab4b8f6e,2021-12-08 13:32:41+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8aecd7346068d2718b056373f1c44523324d11d7,2021-12-12 07:12:09+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f42200fe6a5a9c4c9807c5ab3dd1240ffd78df87,2021-12-14 03:41:17+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': ['gray-matter'], 'removed': []}"
375dd8887edca26b6650a797d6df8601e863ba0c,2021-12-14 04:49:18+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8e98a1ca3ed23e0474aba72a0daefb7658a3d6af,2021-12-16 15:28:37+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7c7accb00288e5cb96e1ea6ab04f5a5bac7934d7,2021-12-20 03:19:58+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
82c0be8877b3b3f2e25fb3a1fb24c0f4c3dd940b,2021-12-20 11:06:03+00:00,"['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a355b12ded22dc135d8b4b927acb8a170d067904,2021-12-23 07:45:07+00:00,['dayjs'],"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","['dayjs', 'lodash', 'vite']","['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': ['vite', 'lodash']}","{'added': [], 'removed': []}"
c8e80bf0f30ef1fd0696cd8ac315e41ba0900825,2021-12-23 08:13:25+00:00,['dayjs'],"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript', 'vite']",['dayjs'],"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript']","{'added': [], 'removed': []}","{'added': ['vite'], 'removed': []}"
5aa68da6746c070a5ed4f19467f05d1ef1456f40,2021-12-28 07:28:43+00:00,['dayjs'],"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript', 'vite']",['dayjs'],"['@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'cross-env', 'del', 'eslint', 'eslint-config-airbnb-base', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'gray-matter', 'gulp', 'gulp-changed', 'gulp-less', 'gulp-mp-npm', 'gulp-plumber', 'gulp-rename', 'gulp-replace', 'gulp-replace-task', 'gulp-sourcemaps', 'gulp-typescript', 'husky', 'jest', 'jest-html-reporter', 'lint-staged', 'miniprogram-api-typings', 'miniprogram-automator', 'miniprogram-simulate', 'prettier', 'stylelint', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
