commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
149c184a8f14083acf5682042d27e71418ab2149,2017-10-14 13:48:09+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0b2cd4638026ef3809610bcb9c9f6db18121472a,2017-10-14 14:51:38+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
780d776fa45b2c1c85ad62d3f905bc25465c9789,2017-10-15 11:06:52+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
148ad96823202769fec4f522fbaf668447587846,2017-10-23 10:14:12+00:00,['jquery'],[],[],[],"{'added': ['jquery'], 'removed': []}","{'added': [], 'removed': []}"
1986f3a3cb7350687256cc534897c4febfdb020d,2017-10-26 15:39:07+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e937858f45b5754c7ee7c902748694ebb0774e9e,2017-10-27 07:11:49+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6fb56965b8e751e600a9f726f0ceaf728a5687aa,2017-10-28 06:54:25+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d0d6aa0f63fd48754c6153927382528e28cd4ab9,2017-10-30 07:02:10+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0fb146a67f207b5a253c22671833caa5f2da957d,2017-11-05 12:33:43+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2870565dbe701cdfd5a7792a5614bc6db6e8ab1d,2017-11-20 01:27:29+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c639e4a3b11795e33821aa0abaa0275a912e7073,2017-11-29 06:39:01+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a24fe21d6f2da07fce8551c1c55745b0c9cd28ed,2017-12-01 09:10:22+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
772df787454eca7a182e6ffa1a90ba36289e6f0f,2018-03-04 09:21:39+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0b6a8d2cb50d4e5a03c6f3894783e7c095228c7c,2018-09-03 04:51:15+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0e593061ff98a39ee02069af1c22ac2dbd72880b,2018-09-03 10:15:03+00:00,['jquery'],[],['jquery'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
330d248080b4b58247745064f6df6c3cb1d8337e,2018-12-12 01:36:33+00:00,[],[],['jquery'],[],"{'added': [], 'removed': ['jquery']}","{'added': [], 'removed': []}"
aa358cede014c3717f31923d3141a2bb9217bd05,2021-12-21 05:43:12+00:00,[],['prettier'],[],[],"{'added': [], 'removed': []}","{'added': ['prettier'], 'removed': []}"
70e736c606695ee4daae28a7cd7e9e3d5e72026b,2021-12-21 07:29:54+00:00,[],['prettier'],[],['prettier'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
