commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
eeb078e8ae618b31226fdbdc539e6b6d00157062,2017-08-26 20:50:33+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e275a7831a221e3991ed22f7a83f81ccc8a380f7,2017-08-26 21:59:00+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],[],"{'added': [], 'removed': []}","{'added': ['prettier', 'eslint', 'eslint-config-expo'], 'removed': []}"
6adb3fc4a54ddc90bee0a6df598fd504d17215e5,2017-08-30 04:24:55+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
300b45fe2e363d6dd73555e005d2e4f3a07d0740,2017-09-02 23:58:47+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4b4671b6ca01e9aeb101ba0146c208735855496b,2017-09-03 00:47:05+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0669b5281f26725500f981b8ca5459c5ae8b673a,2017-09-04 19:23:22+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dbe6de553c245c2a636870c69fc2f7e2e16cce06,2017-09-05 03:12:30+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d0ef62c8eae32ce84606d5d6d124e6bc555c098f,2017-09-10 07:48:31+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0344c920a563f493c2d57ecbb52997e0177cf41a,2017-09-23 20:44:09+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8ca8516274787434f874d72573e01145d209fd78,2017-11-05 15:14:17+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f43203e4ff49459f1f0dc1b8e07dd6ea385596c6,2017-11-08 04:07:06+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4bf47de88b3f881d56244be8c65bf507f27c2ea8,2017-12-29 03:08:26+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
853af659dcffe82429c7c9f829b30ad5e277d807,2018-01-04 03:45:28+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8600c6de7ef63f782ff330c70e6dce8dd531f5ed,2018-01-05 05:09:02+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
526016ed87e62746dfb6c0c4c0b2a91867d9d612,2018-01-28 00:20:48+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4d02ee75d994fd7eeaa47ebedd2fc736bee04d29,2018-02-26 23:27:06+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9d005c577782c328e24d6f10e93a210658fc5975,2018-06-16 19:50:24+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
eb207ee26ed5dad08429e1845f9ea83f7b8e2874,2018-08-24 16:19:39+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ca09f08dc612168f842b9e116f04ecd6180d6912,2018-08-30 04:05:53+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a23897e29b2c8ee8d8830d5244ab44c94b0ee3f2,2018-09-14 02:37:47+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cd671006b44a8609a1d8f6b18f3338d13b447a31,2019-07-19 03:54:41+00:00,[],"['eslint', 'eslint-config-expo', 'prettier']",[],"['eslint', 'eslint-config-expo', 'prettier']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
