commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a4ec54f1c60cb43c397243df463a3cb6417aed45,2016-09-20 01:10:22+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']",,,"{'added': ['deline', 'react-native-safe-module'], 'removed': []}","{'added': ['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native'], 'removed': []}"
9a072401447e8e2d4f2882ef00043e45f0b618af,2016-12-20 19:36:53+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bd99c29dc1c3fd4cc03333edc353afea7e7a4890,2017-02-14 22:22:45+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
413ef3a5b6bafad168fbc667c30ed9f92ece1209,2017-02-16 21:08:43+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
45e78fb2b2a9713b0b6922f5e4cc8cc648f9e711,2017-02-21 19:55:46+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
316dd568db623e32358a214ef9f598f1ba91a7a6,2017-03-03 01:30:07+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c5efc3df8a7579bfd89fe9724e373b17f40154a7,2017-03-08 20:02:27+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': ['murmur2js'], 'removed': []}"
6880884ff9dc94d245589ac2a33c804bfecf236b,2017-03-09 08:57:48+00:00,"['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1ed9e863043ce2d796686d22069ca8f98fc6fd86,2017-03-11 00:19:31+00:00,['react-native-safe-module'],"['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","['deline', 'react-native-safe-module']","['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","{'added': [], 'removed': ['deline']}","{'added': [], 'removed': []}"
a63b1f8419fee29a009b2036ef4f3cf6a94d7d04,2017-03-11 07:39:05+00:00,['react-native-safe-module'],"['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']",['react-native-safe-module'],"['babel-eslint', 'babel-plugin-module-resolver', 'babel-preset-airbnb', 'babel-preset-react-native', 'eslint', 'eslint-config-airbnb', 'eslint-import-resolver-babel-module', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prefer-object-spread', 'eslint-plugin-react', 'gitbook-cli', 'murmur2js', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
