commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
c38e031fd5fe131933d862200bb2d41c8bb34757,2016-06-01 12:15:13+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
244bfb9c6ff826d53f7ca12c331540016dac9a1e,2016-06-10 16:24:27+00:00,['react-native-vector-icons'],[],[],[],"{'added': ['react-native-vector-icons'], 'removed': []}","{'added': [], 'removed': []}"
d3367ee70cd21a74a253cb1eb0fa4d5d76825d09,2016-11-10 15:22:51+00:00,[],[],['react-native-vector-icons'],[],"{'added': [], 'removed': ['react-native-vector-icons']}","{'added': [], 'removed': []}"
863cbe189c674eeba010320c46b58db7c4ad9987,2016-12-01 17:46:04+00:00,"['markdown-it', 'wintersmith']",[],[],[],"{'added': ['markdown-it', 'wintersmith'], 'removed': []}","{'added': [], 'removed': []}"
81a8877f7e731a8bb496d1e4ba533fbc8beb4b6c,2016-12-20 09:12:26+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['markdown-it', 'wintersmith']",[],"{'added': ['gh-pages'], 'removed': []}","{'added': [], 'removed': []}"
72f4cc4faedda2a71872ddf41582e6ba3b624d5c,2017-01-03 16:44:35+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d78f8b21fe02aab756435e9148792f8a27462031,2017-01-04 09:07:44+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
457daf3a83df75596c872539556719054cefe80f,2017-03-17 12:21:04+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c3915386f290a83c8379527307c6bca655c0b61a,2017-04-13 10:40:46+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4b4d97c7cd9f35a280d3f7cc7561a28602bd41f5,2017-04-18 14:09:26+00:00,"['gh-pages', 'markdown-it', 'wintersmith']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
17eb3755b9804fa29d705b5541450bca09d836ff,2017-06-02 13:24:52+00:00,"['gh-pages', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"['gh-pages', 'markdown-it', 'wintersmith']",[],"{'added': ['prop-types', 'wolfy87-eventemitter'], 'removed': []}","{'added': [], 'removed': []}"
406844e04df0005851a66def28a2859aa4b42da1,2017-06-28 09:23:57+00:00,"['gh-pages', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"['gh-pages', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
12c6c5b46ab918700748c35de115c6685d0a8df4,2017-06-28 12:54:35+00:00,"['gh-pages', 'hoist-non-react-statics', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"['gh-pages', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"{'added': ['hoist-non-react-statics'], 'removed': []}","{'added': [], 'removed': []}"
5e0fbcf40a737dd21cc7a2d9bb4de97d1c872a16,2017-06-28 12:55:05+00:00,"['gh-pages', 'hoist-non-react-statics', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"['gh-pages', 'hoist-non-react-statics', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c248964ed2ba32777a84330f754426127054ea8f,2017-08-21 08:40:47+00:00,"['hoist-non-react-statics', 'prop-types', 'wolfy87-eventemitter']",[],"['gh-pages', 'hoist-non-react-statics', 'markdown-it', 'prop-types', 'wintersmith', 'wolfy87-eventemitter']",[],"{'added': [], 'removed': ['gh-pages', 'markdown-it', 'wintersmith']}","{'added': [], 'removed': []}"
0eba1a3e14803989e8e566aa371e3b9a884fa6d0,2017-12-26 12:56:29+00:00,"['hoist-non-react-statics', 'prop-types', 'wolfy87-eventemitter']",[],"['hoist-non-react-statics', 'prop-types', 'wolfy87-eventemitter']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7cb817c79c87dba3e1914df3e14a615f191cd7e8,2017-12-27 08:18:36+00:00,"['hoist-non-react-statics', 'prop-types']",[],"['hoist-non-react-statics', 'prop-types', 'wolfy87-eventemitter']",[],"{'added': [], 'removed': ['wolfy87-eventemitter']}","{'added': [], 'removed': []}"
59e7c9c072647a652421a9b443759c21490aee46,2018-01-08 15:05:20+00:00,"['hoist-non-react-statics', 'prop-types']",[],"['hoist-non-react-statics', 'prop-types']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2ae8e0d67f6a0579e7c5fca8eefd36a35d1cb126,2018-04-25 11:18:42+00:00,"['hoist-non-react-statics', 'prop-types']",[],"['hoist-non-react-statics', 'prop-types']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
24d268b7abbbc3fbc17846cf6ae2b2ddbb089e91,2018-06-18 13:59:32+00:00,"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","['hoist-non-react-statics', 'prop-types']",[],"{'added': ['lodash'], 'removed': []}","{'added': ['eslint-config-akveo-react', 'eslint', 'eslint-plugin-jsx-a11y', 'react', 'babel-preset-react-native', 'react-native', 'babel-eslint', 'husky', 'eslint-plugin-import', 'babel-plugin-transform-decorators-legacy', 'eslint-plugin-react'], 'removed': []}"
837d3725a34f02c28d890e18e1da01fc6ad52430,2018-09-19 10:55:11+00:00,"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': ['eslint-config-akveo-react-native'], 'removed': ['eslint-config-akveo-react']}"
ef6745fdf759fc3b646a974b042883e32014a0d1,2018-09-19 13:48:33+00:00,"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2333ab2e81cacda322dba9cfd445e12781593247,2018-09-20 11:00:28+00:00,"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
935169e4e4a35f1fceb57d5103eba5ee1496308f,2018-09-21 15:11:24+00:00,"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
39e88bd3027e3bd9cd5785bacf7d5160686b861c,2018-10-29 15:15:47+00:00,[],[],"['hoist-non-react-statics', 'prop-types', 'lodash']","['babel-eslint', 'babel-plugin-transform-decorators-legacy', 'babel-preset-react-native', 'eslint', 'eslint-config-akveo-react-native', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'husky', 'react', 'react-native']","{'added': [], 'removed': ['lodash', 'prop-types', 'hoist-non-react-statics']}","{'added': [], 'removed': ['eslint-plugin-jsx-a11y', 'eslint', 'react', 'babel-preset-react-native', 'react-native', 'eslint-config-akveo-react-native', 'babel-eslint', 'husky', 'eslint-plugin-import', 'babel-plugin-transform-decorators-legacy', 'eslint-plugin-react']}"
6b9825b6e97a2162a8be08c2803b5fd7db9c6280,2018-10-30 11:55:44+00:00,[],"['@types/jest', '@types/react', '@types/react-native', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-typescript-transformer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",[],[],"{'added': [], 'removed': []}","{'added': ['react', 'babel-preset-react-native', 'react-native', '@types/react-native', 'babel-jest', 'rimraf', 'husky', '@types/jest', 'jest', '@types/react', 'tslint', 'typescript', 'ts-jest', 'react-native-typescript-transformer'], 'removed': []}"
7b45ad7c48671f12eea527d5ce049f4145dcb5e8,2018-10-30 21:11:12+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'tslint', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-typescript-transformer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['@types/react-test-renderer', 'react-native-testing-library', 'react-test-renderer'], 'removed': ['ts-jest']}"
2239e5ef6a6bc8e43f67f680ad32b2295f4d7206,2018-10-31 15:56:19+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'tslint', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
059bf0c9d3f714fb3b1322843771ff4b2310b8e8,2018-11-02 12:41:40+00:00,[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-native', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['react-native-mock', 'ts-jest', 'react-addons-test-utils'], 'removed': []}"
c6dc732aca5156d2fa6d11ed757b33e362c45214,2018-11-05 09:38:21+00:00,[],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",[],"['@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-jest', 'babel-preset-react-native', 'husky', 'jest', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['metro-react-native-babel-preset', 'babel-core', '@babel/core', '@babel/runtime'], 'removed': ['babel-preset-react-native']}"
f275b46d115f3c611d94727636089a54d0893257,2018-11-05 10:17:46+00:00,[],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",[],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
07d4bcfa9d2eae937d93bbd8b9f80733901cabaa,2018-12-10 16:02:37+00:00,['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",[],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': ['hoist-non-react-statics'], 'removed': []}","{'added': [], 'removed': []}"
0e38a4f86b17e697e3dfeaf9528af651e176ad5d,2018-12-11 07:19:54+00:00,['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-addons-test-utils', 'react', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['coveralls'], 'removed': []}"
e6d030c0652ba0d3499f3216d7e78b8391b0778b,2018-12-11 15:31:36+00:00,['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-navigation', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['@types/react-navigation'], 'removed': []}"
48c6cfedd509c8ea884810c8dde6e89a7bf425fe,2018-12-26 16:06:00+00:00,['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-navigation', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-navigation', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cd60eb28cfadfc0eb1331045fee59ab908ec3a9f,2019-01-02 11:04:47+00:00,['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-navigation', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']",['hoist-non-react-statics'],"['@babel/core', '@babel/runtime', '@types/jest', '@types/react', '@types/react-native', '@types/react-navigation', '@types/react-test-renderer', 'babel-core', 'babel-jest', 'coveralls', 'husky', 'jest', 'metro-react-native-babel-preset', 'react', 'react-addons-test-utils', 'react-native', 'react-native-mock', 'react-native-testing-library', 'react-native-typescript-transformer', 'react-test-renderer', 'rimraf', 'ts-jest', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
