commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4968d6c7851d7d8bdfb1356452933d3e46bbeb82,2020-02-08 16:48:42+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@types/node', '@types/jasmine', '@types/jasminewd2', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']",,,"{'added': ['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'rxjs', 'tslib', 'zone.js'], 'removed': []}","{'added': ['@angular-devkit/build-angular', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@types/node', '@types/jasmine', '@types/jasminewd2', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript'], 'removed': []}"
973bd8e382094de9d2d5b60deb271262d960e6ae,2020-02-08 21:47:37+00:00,"['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@types/express', '@types/node', '@types/jasmine', '@types/jasminewd2', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@types/node', '@types/jasmine', '@types/jasminewd2', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': ['express', '@angular/material', '@angular/cdk', '@angular/platform-server', '@nguniversal/express-engine'], 'removed': []}","{'added': ['@nguniversal/builders', '@angular-devkit/build-ng-packagr', '@types/express', 'ng-packagr'], 'removed': []}"
87d0efdc2618f0f853260d8c4c2a6742b9dc0456,2020-02-08 21:57:27+00:00,"['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@types/express', '@types/node', '@types/jasmine', '@types/jasminewd2', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['webpack-bundle-analyzer', 'commitplease', '@release-it/conventional-changelog', 'release-it', 'angular-cli-ghpages'], 'removed': []}"
2e7ca661792f64f47315796c8a859f1860ef50eb,2020-02-09 20:32:44+00:00,"['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': ['@angular/flex-layout', 'ngx-markdown'], 'removed': []}","{'added': [], 'removed': []}"
54c439ef632cd4b1fefcd0347fb0379681f8833c,2020-02-09 21:24:31+00:00,"['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', 'express', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': ['@ngx-translate/core', '@ngx-translate/http-loader'], 'removed': []}","{'added': [], 'removed': []}"
0aa9e5ac52369469fd2b0bf1a0896abe6c8c7ef8,2020-02-09 22:55:02+00:00,"['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': ['ngx-highlightjs', '@angular-material-extensions/pages', 'ngx-clipboard'], 'removed': []}","{'added': [], 'removed': []}"
96397b9519a6d66e8384fdae1f5e04fd96448795,2020-02-09 23:10:10+00:00,"['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'commitplease', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': [], 'removed': []}","{'added': [], 'removed': ['commitplease']}"
d3fed3b6bd6c6b356b8e2adb899401a07801fcef,2020-08-27 07:32:41+00:00,"['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3175ffa7d33c7315725e3645f4d9f15b270b820b,2020-08-27 08:16:16+00:00,"['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'http-server', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': [], 'removed': []}","{'added': ['http-server'], 'removed': []}"
c91911574048da57569744d5825f248d4cde1320,2020-08-27 20:48:11+00:00,"['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'http-server', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","['@angular-material-extensions/pages', '@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/flex-layout', '@angular/forms', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@nguniversal/express-engine', '@ngx-translate/core', '@ngx-translate/http-loader', 'express', 'ngx-clipboard', 'ngx-highlightjs', 'ngx-markdown', 'rxjs', 'tslib', 'zone.js']","['@angular-devkit/build-angular', '@angular-devkit/build-ng-packagr', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@nguniversal/builders', '@release-it/conventional-changelog', '@types/express', '@types/jasmine', '@types/jasminewd2', '@types/node', 'angular-cli-ghpages', 'codelyzer', 'http-server', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'ng-packagr', 'protractor', 'release-it', 'ts-node', 'tslint', 'typescript', 'webpack-bundle-analyzer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
