commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
c16fb5e7db9088ddf7863a57a9af405e62f6c466,2016-12-16 14:25:05+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c272c05c3b27b73312bfa5869e089f768dab09c6,2016-12-16 14:45:26+00:00,"['@angular/common', '@angular/core']",['typescript'],[],[],"{'added': ['@angular/common', '@angular/core'], 'removed': []}","{'added': ['typescript'], 'removed': []}"
736049204e8d931df4347343826461d0366cfb72,2016-12-16 15:39:41+00:00,"['@angular/common', '@angular/core', '@angular/compiler', '@angular/compiler-cli', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/core']",['typescript'],"{'added': ['core-js', 'reflect-metadata', 'zone.js', '@angular/compiler-cli', '@angular/compiler', 'rxjs'], 'removed': []}","{'added': ['@types/node', 'tslint-loader', '@ngtools/webpack', '@types/jasmine', 'rimraf', 'tslint', 'codelyzer', 'ts-helpers', '@angular-cli/ast-tools'], 'removed': []}"
32eaa618e9bb05dd3a864f13e056f517c2f27b4d,2016-12-16 16:27:28+00:00,"['@angular/common', '@angular/core', '@angular/compiler', '@angular/compiler-cli', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/core', '@angular/compiler', '@angular/compiler-cli', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d1cd4a3fe6f02f2f7f67dba06ee57118149f2911,2016-12-17 17:25:16+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/core', '@angular/compiler', '@angular/compiler-cli', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ed849a9c55806b4bc7cfd626c367e12097f125d6,2016-12-17 17:28:14+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9a8cdb8e36019c8c793b103fe5beb061930eb4a4,2016-12-17 17:28:55+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
12b0c662387aa972f11e863372b9beb98f2aaa60,2016-12-18 07:43:29+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5c7e9089840fefc9e31ce842a20798abc9b52ed2,2016-12-18 07:46:15+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
723159136029bf4eeea8d58149254946e8198e45,2016-12-18 08:16:29+00:00,"['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","['@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', 'core-js', 'reflect-metadata', 'rxjs', 'zone.js']","['@angular-cli/ast-tools', '@ngtools/webpack', '@types/jasmine', '@types/node', 'rimraf', 'codelyzer', 'ts-helpers', 'tslint', 'tslint-loader', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
