commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3d093628282b741195e804b72d9452d9da7f61f2,2015-11-30 03:53:57+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6ad3f94b56d63c71696431bf39032af07ad5730c,2015-12-01 07:14:57+00:00,"['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']",[],[],"{'added': ['warning', 'object-assign'], 'removed': []}","{'added': ['react', 'babel-jest', 'webpack-babel-jest', 'busboy', 'babel-core', 'expect.js', 'react-addons-test-utils', 'babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'autoprefixer-loader', 'eslint-plugin-babel', 'jest-cli', 'babel-loader', 'less', 'gulp', 'gulp-ssh', 'webpack', 'history', 'gulp-uglify', 'css-loader', 'gulp-concat', 'json-loader', 'react-router', 'lesshint', 'clipboard', 'less-loader', 'react-dom', 'nico-jsx', 'webpack-dev-middleware', 'eslint', 'extract-text-webpack-plugin', 'lodash', 'gulp-markdown', 'gulp-util', 'chalk', 'gh-pages', 'eslint-config-airbnb', 'pre-commit'], 'removed': []}"
ce99fc2fcc8c5ab26637e71facc19e82ab54c1d4,2015-12-01 08:17:03+00:00,"['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
65a0bc59a6021e52e3c85a81f3d27ba55a28aea6,2015-12-01 12:26:33+00:00,"['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
34c00de6c7a17a5ab941a887920fb7c695a36994,2015-12-01 12:59:53+00:00,"['object-assign', 'warning']","['classnames', 'css-animation', 'semver', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'warning']","['autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': ['semver', 'classnames', 'css-animation'], 'removed': []}"
44d4505b9c703a06d7e11d83b7b51d2c04da626b,2015-12-01 13:34:06+00:00,"['object-assign', 'warning']","['classnames', 'css-animation', 'semver', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'warning']","['classnames', 'css-animation', 'semver', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f855972106a83c1e9560ad7771cb2cc046bcf9dc,2015-12-02 02:28:01+00:00,"['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'warning']","['classnames', 'css-animation', 'semver', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': ['semver'], 'removed': []}","{'added': [], 'removed': ['semver']}"
4c165e61f8ed6662b96dfdbbdaa9e78e26d1bf01,2015-12-02 02:29:56+00:00,"['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
29139e4a480fb400f2bd43a0e9453a4806efe9ed,2015-12-02 05:49:53+00:00,"['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a5eff9019911ed1b759cd18d04ef580dd4535f7e,2015-12-02 05:53:46+00:00,"['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","['object-assign', 'semver', 'warning']","['classnames', 'css-animation', 'autoprefixer-loader', 'babel', 'babel-core', 'babel-jest', 'babel-loader', 'busboy', 'chalk', 'clipboard', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-babel', 'eslint-plugin-markdown', 'eslint-plugin-react', 'expect.js', 'extract-text-webpack-plugin', 'gh-pages', 'gulp', 'gulp-concat', 'gulp-markdown', 'gulp-ssh', 'gulp-uglify', 'gulp-util', 'history', 'jest-cli', 'json-loader', 'less', 'less-loader', 'lesshint', 'lodash', 'nico-jsx', 'pre-commit', 'react', 'react-addons-test-utils', 'react-dom', 'react-router', 'webpack', 'webpack-babel-jest', 'webpack-dev-middleware']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
