commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
6b419f34704e0671ae21953b581a6919ec8017cf,2023-08-18 07:31:31+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@types/jest', '@types/node', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@types/jest', '@types/node', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript'], 'removed': []}"
53e63e52703c8c5eccdaeb7a77f72bf378d2951e,2023-09-28 06:51:03+00:00,['@types/react'],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@types/jest', '@types/node', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@types/jest', '@types/node', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': ['@types/react'], 'removed': []}","{'added': [], 'removed': []}"
1ba63bda68870b9c67b8066ff18823b0bd8019f3,2023-10-05 03:36:54+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",['@types/react'],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@types/jest', '@types/node', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': ['@types/react']}","{'added': ['@testing-library/react', '@types/react', 'jest-environment-jsdom'], 'removed': []}"
6602681e2b35b09dd26092eb14f6b80ee7fe92c1,2023-10-06 03:42:17+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': ['ethers'], 'removed': []}"
1352ad38c0e2790fcba2689ac24a6877a73cff5f,2023-10-06 07:49:01+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
79754878256a9c2553cc7a5d19d34168364d660f,2023-10-06 07:52:45+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5d16d827d3997a85f49f9e92e27f65ab4959131e,2023-10-07 02:59:11+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cbffe916e28b9a9fd22f056418568abb5ac30909,2023-10-12 13:20:31+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4d9c0f9b1c308247b217649973688e5817418032,2023-10-13 08:18:46+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fae084cb091653b4edb901398b0d41d4cc39c26e,2023-10-13 09:01:44+00:00,[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']",[],"['@changesets/changelog-git', '@changesets/cli', '@swc/core', '@swc/jest', '@testing-library/react', '@types/jest', '@types/node', '@types/react', '@umijs/fabric', 'dumi', 'eslint', 'ethers', 'father', 'husky', 'jest', 'jest-environment-jsdom', 'jest-junit', 'lint-staged', 'prettier', 'rimraf', 'ts-jest', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
