commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
845dee21a0f9effd44edb3485d92ee7680fa21f2,2021-10-25 04:28:50+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'axios', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'marked', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']",,,"{'added': ['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal'], 'removed': []}","{'added': ['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'axios', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'marked', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript'], 'removed': []}"
7f9f8cf4e0c0fa1e9785eb5049e83613de013ac0,2021-10-26 03:38:16+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'axios', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'marked', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['marked', 'axios']}"
ebedacb1cf8a5d5342859780dadb2e49f4c7a022,2021-10-26 07:03:18+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
763ea9c3f40b848cbbd2646413d3927c118a613f,2021-10-26 14:10:00+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c53c50ca203552f2be646257721502d0c7ce8dce,2021-10-26 14:49:03+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': ['cross-env', 'rimraf'], 'removed': []}"
3a9f8895f5cef9864e3440c363b947bfc57baa7c,2021-10-26 15:52:23+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['cross-env', 'rimraf']}"
c281e8805a4d7e7dfcff9ce48e69008fc2acecc8,2021-10-27 02:02:17+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4a0165fd8a887593634d57fea27e3a6ff032e7d9,2021-10-27 02:48:40+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': ['cross-env', 'rimraf'], 'removed': []}"
5bb24b4cfb557668135d395f109bcaacd9081154,2021-10-29 10:00:30+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1825fb65234eab579340a217db4457aa76a82e1e,2021-10-29 10:01:50+00:00,"['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-doc-site-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","['@arco-design/color', '@babel/runtime', 'b-tween', 'b-validate', 'dayjs', 'lodash', 'number-precision', 'react-focus-lock', 'react-transition-group', 'resize-observer-polyfill', 'scroll-into-view-if-needed', 'shallowequal']","['@arco-design/arco-components', '@arco-design/arco-scripts', '@storybook/addon-actions', '@storybook/addon-essentials', '@storybook/addon-links', '@storybook/react', '@testing-library/react-hooks', '@types/enzyme', '@types/jest', '@types/lodash', '@types/react', '@types/react-dom', '@types/shallowequal', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chalk', 'concurrently', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-tsdoc', 'fs-extra', 'glob', 'husky', 'less', 'lint-staged', 'moment', 'moment-timezone', 'npm-run-all', 'nunjucks', 'prettier', 'react', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-easy-crop', 'react-resizable', 'react-sortable-hoc', 'react-sticky', 'react-test-renderer', 'rimraf', 'sinon', 'stylelint', 'stylelint-config-standard', 'svgo', 'typescript']","{'added': [], 'removed': []}","{'added': ['@arco-design/arco-doc-site-components'], 'removed': ['@arco-design/arco-components']}"
