commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a79947b1cd019fb0e336fc35a8219752ea0d7fe3,2019-12-22 14:14:32+00:00,"['body-parser', 'express', 'mongodb']",[],,,"{'added': ['body-parser', 'express', 'mongodb'], 'removed': []}","{'added': [], 'removed': []}"
bb67c4cde147041ab96bff46f5ade084fcc14632,2019-12-22 15:44:34+00:00,"['body-parser', 'cors', 'express', 'mongodb']",[],"['body-parser', 'express', 'mongodb']",[],"{'added': ['cors'], 'removed': []}","{'added': [], 'removed': []}"
769456a9e612a7ea114029a27ba14787bd6a69ad,2019-12-31 02:48:18+00:00,"['body-parser', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'cors', 'express', 'mongodb']",[],"{'added': ['dotenv'], 'removed': []}","{'added': [], 'removed': []}"
3dff361251c1ca457d4029540bd78871a7fd33a1,2020-01-22 17:46:34+00:00,"['body-parser', 'bson', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': ['bson'], 'removed': []}","{'added': [], 'removed': []}"
a8bfe90e3aa253359be2939f8385ac848ae79ecd,2020-02-09 11:36:08+00:00,"['body-parser', 'bson', 'compression', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'bson', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': ['compression'], 'removed': []}","{'added': [], 'removed': []}"
211083d239dc57fdfc3468ed8a682dcf5bd55191,2020-06-07 15:04:15+00:00,"['body-parser', 'bson', 'compression', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'bson', 'compression', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': ['connect-gzip-static'], 'removed': []}","{'added': [], 'removed': []}"
91ecf9a9b338f89592d5e5322d2fd3ccdadafe88,2020-06-13 15:07:37+00:00,"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'bson', 'compression', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': [], 'removed': ['compression']}","{'added': [], 'removed': []}"
1f27c3c822571a29f18c4968e1684537a8a5db11,2020-06-20 08:39:29+00:00,"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3cbc37aac5913898436358a69bcdfd5784c4b2b5,2020-06-20 14:59:07+00:00,"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'express', 'mongodb']",[],"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'dotenv', 'express', 'mongodb']",[],"{'added': [], 'removed': ['dotenv']}","{'added': [], 'removed': []}"
c3e32e3f552eb270fa1b28e11f7aab424688ce97,2020-06-21 13:27:54+00:00,"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'express', 'minimist', 'mongodb']",[],"['body-parser', 'bson', 'connect-gzip-static', 'cors', 'express', 'mongodb']",[],"{'added': ['minimist'], 'removed': []}","{'added': [], 'removed': []}"
