commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b0fc01fc47b0337bcdcef6d4e91e5f54ca7f0702,2023-07-03 08:43:40+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
09bbfc4fb21ab4b0f01f3cd4c5b30e7bc2307961,2023-07-03 09:04:22+00:00,"['react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']",[],[],"{'added': ['react-dom', 'react'], 'removed': []}","{'added': ['webpack', 'style-loader', 'webpack-cli', '@babel/preset-env', '@babel/core', 'babel-loader', 'css-loader', 'html-webpack-plugin', '@types/react', '@babel/preset-react', 'ts-loader', '@types/react-dom', 'typescript', 'webpack-dev-server'], 'removed': []}"
d2de3137f5d5085824eace46ed290fdeef473166,2023-07-03 09:37:39+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': ['lrud', 'lodash.uniqueid'], 'removed': []}","{'added': ['@types/lodash.uniqueid'], 'removed': []}"
211dc9b572714dd8fe6c43e8e2506f95e496fbd8,2023-07-03 10:03:06+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
69c553ea171a9f82f60df3464a147ad2cc78c53f,2023-07-03 15:32:37+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', 'babel-loader', 'css-loader', 'html-webpack-plugin', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['eslint-define-config', 'eslint-plugin-react', 'eslint', '@react-native-community/eslint-config', 'prettier', 'eslint-plugin-react-hooks', 'eslint-plugin-prettier', 'eslint-config-prettier', 'eslint-plugin-react-native', '@typescript-eslint/parser', '@typescript-eslint/eslint-plugin'], 'removed': []}"
6b408403010d3ebd12a16311355627cb52866ff7,2023-07-04 13:59:23+00:00,"['@react-spatial-navigation/native', 'lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': ['@react-spatial-navigation/native'], 'removed': []}","{'added': [], 'removed': []}"
2b56bbd79310b9860dd365d29e6714e112ebb674,2023-07-05 08:37:33+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['@react-spatial-navigation/native', 'lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': ['@react-spatial-navigation/native']}","{'added': ['metro-react-native-babel-preset', '@babel/preset-typescript'], 'removed': []}"
62af1a762ffdf9e5f68df28ce026f583250e0272,2023-07-05 14:50:05+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom', 'react-native-web']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': ['react-native-web'], 'removed': []}","{'added': [], 'removed': []}"
8800ee4f0d1c8b7d1f13d3acd9b04af604d08ffd,2023-07-06 08:46:58+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom', 'react-native-web']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom', 'react-native-web']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8becda380ba369b7b6838d1ea94561c813040b75,2023-07-06 08:50:01+00:00,"['lodash.uniqueid', 'lrud', 'react', 'react-dom', 'react-native-web']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@typescript-eslint/typescript-estree', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['lodash.uniqueid', 'lrud', 'react', 'react-dom', 'react-native-web']","['@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@react-native-community/eslint-config', '@types/lodash.uniqueid', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-loader', 'css-loader', 'eslint', 'eslint-config-prettier', 'eslint-define-config', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-react-native', 'html-webpack-plugin', 'metro-react-native-babel-preset', 'prettier', 'style-loader', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['@typescript-eslint/typescript-estree'], 'removed': []}"
