commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
bf9c472542b8ea26b6420076ffb4f45bf4102395,2017-12-23 13:19:16+00:00,['lodash.assign'],"['chai', 'mocha', 'sinon', 'standard']",,,"{'added': ['lodash.assign'], 'removed': []}","{'added': ['chai', 'mocha', 'sinon', 'standard'], 'removed': []}"
bdc29d6d23ec8d1b17e53afa379e2b3ce5a60c41,2017-12-23 22:04:26+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",['lodash.assign'],"['chai', 'mocha', 'sinon', 'standard']","{'added': [], 'removed': ['lodash.assign']}","{'added': ['uglify-js', 'rollup-plugin-node-builtins', 'babel-core', 'rollup', 'babel-preset-env'], 'removed': []}"
065da241c1a057645eda48abcaa782a83da4e379,2017-12-23 22:13:56+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
965249e5e2d22bb6eedc22f3eb5bc3ab4db75e8d,2017-12-23 22:29:55+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': ['rimraf'], 'removed': []}"
d61658cd54df6a2bf0f7125bc590af1a70b15ed2,2017-12-24 18:34:29+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9af1f6e2ebde618a791a5cd1a994c7b4c7b16b52,2017-12-25 14:49:52+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
86d1b011685b1a5187e1c75b9d6234d2c7a06b73,2017-12-25 14:57:50+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
909f5dc29c8dad4d94c7d64561e72a960cb2b871,2017-12-25 14:57:54+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6102cad15aed6b07eeca223a9f21ed057d7f9e21,2017-12-25 21:13:17+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d3fd16d09cc50b6896f049bad5d5a58690b9964c,2017-12-25 22:18:21+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
896d8ace0384529b2a0f5f22d117d1e9e2107612,2017-12-25 22:42:26+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0fe33e1a1fe3ede332a35771766104ba1626ace0,2017-12-25 22:42:32+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4a95dccfd6ac8f0ebda489d4236fd76779b06149,2017-12-25 22:46:19+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
92112a5c14317bf8f519fcd84947190930c410a9,2017-12-25 22:46:25+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
aedc8068901125b92f8ba053d2c49f0da78a20b5,2017-12-25 22:50:42+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a54de3f6f1da17b18d0992c45659e4d186ebcdaa,2017-12-26 15:33:17+00:00,[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']",[],"['babel-core', 'babel-preset-env', 'chai', 'mocha', 'rimraf', 'rollup', 'rollup-plugin-node-builtins', 'sinon', 'standard', 'uglify-js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
