commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a4290646e4aeb68c399310d06b6c029694fedcd5,2016-06-15 12:59:39+00:00,"['inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'inherit', 'webpack', 'webpack-dev-server']",,,"{'added': ['inherit', 'react', 'react-dom'], 'removed': []}","{'added': ['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'inherit', 'webpack', 'webpack-dev-server'], 'removed': []}"
c975e1c4848ccebee63f6641414f8e3a1d24222a,2016-06-16 14:34:08+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'inherit', 'webpack', 'webpack-dev-server']","['inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'inherit', 'webpack', 'webpack-dev-server']","{'added': ['b_'], 'removed': []}","{'added': [], 'removed': []}"
324fecf670d96703488231a52d70d6d717f8f7d4,2016-06-22 11:20:06+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'webpack', 'webpack-dev-server']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'inherit', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': ['inherit']}"
e0054e9aee8444f46b9aa8a361a0343e54bfdb37,2016-06-22 11:55:18+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'webpack', 'webpack-dev-server']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c8424957f7c0656c70109d2896dae8787a84e026,2016-07-28 11:44:59+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'bem-naming', 'css-loader', 'falafel', 'stream-to-array', 'style-loader', 'vow', 'vow-fs', 'webpack', 'webpack-dev-server']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['vow-fs', 'style-loader', 'vow', 'css-loader', 'falafel', 'stream-to-array', 'bem-naming'], 'removed': []}"
c1fd24fce462c6a71231967a5b816234457ff58b,2016-09-09 14:27:53+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'bem-naming', 'css-loader', 'falafel', 'stream-to-array', 'style-loader', 'vow', 'vow-fs', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['webpack-bem-loader'], 'removed': ['vow-fs', 'falafel', 'bem-naming', 'vow']}"
a028e20831f4cf5c1aa675dd6ed568df1c0b7951,2016-09-09 14:33:57+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0a0733ce5f526e63f4873b606cc91df521272d5b,2016-10-24 13:02:01+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3b9da98b7daae5008087245428ac2baa78a49f7a,2016-10-25 21:19:43+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
14f5f0a6757d8784ca15274b20a738eea6e88b71,2017-01-13 11:41:39+00:00,"['b_', 'inherit', 'react', 'react-dom']","['babel-cli', 'babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'style-loader', 'webpack', 'webpack-bem-loader', 'webpack-dev-server']","['b_', 'inherit', 'react', 'react-dom']","['babel-core', 'babel-loader', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-react-jsx', 'babel-preset-es2015', 'babel-preset-es2015-loose', 'css-loader', 'stream-to-array', 'style-loader', 'webpack', 'webpack-dev-server', 'webpack-bem-loader']","{'added': [], 'removed': []}","{'added': ['babel-cli'], 'removed': ['stream-to-array']}"
