commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
253f354888085fb8e47f1c88bd51c7ecab401e9b,2019-09-09 21:24:31+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']",,,"{'added': ['he', 'css-tree', 'node-fetch'], 'removed': []}","{'added': ['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript'], 'removed': []}"
718452d798754a8517a2297b022a6c70b4c096df,2019-09-13 20:06:16+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d8cd97c27d861e26a7a1745cc763c8fb2f7d2fc6,2019-09-16 20:27:48+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
11ef6846c63befacbbe4f8b8268a16a9a68f2358,2019-09-17 11:51:06+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0c0676017a2e4cbff2f9a8b4c44333d0e9952ead,2019-09-17 11:51:54+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2db287ed9ec9e755d547cc905e95c2a21e70de32,2019-09-17 12:20:46+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
60ed152062b5f331b28f5c05eaf2c7c8811de824,2019-09-20 07:58:40+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d5039c8b51c40c69435901adaabedffd58523093,2019-09-20 14:02:11+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
56da05179cd7531d9eeb38c007a27781663270d1,2019-09-20 14:14:02+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4d0a8fa66ebe20357ae6c6576e97fa962361e250,2019-09-25 09:13:40+00:00,"['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","['he', 'css-tree', 'node-fetch']","['@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@types/node', '@types/he', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
