commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4ed1c2d4f13755a7a70c36cf1a3e14d38f739894,2022-08-31 06:33:44+00:00,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-router-dom', 'react-scripts', 'web-vitals']",[],,,"{'added': ['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-router-dom', 'react-scripts', 'web-vitals'], 'removed': []}","{'added': [], 'removed': []}"
545d9dc371a265ec0b36046cc1937d5a47b39289,2022-09-01 15:56:48+00:00,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1d2ce265deb9b3a26c6297bd0702883775f6fdba,2022-12-06 10:35:02+00:00,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"{'added': ['react-paginate'], 'removed': []}","{'added': [], 'removed': []}"
346eb4154b4ab9a19b0b8674308706fe5ea9f7f6,2022-12-06 16:16:33+00:00,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'uuid', 'web-vitals']",[],"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'web-vitals']",[],"{'added': ['uuid'], 'removed': []}","{'added': [], 'removed': []}"
55c1e85d903e4c8a0e00947ac5fd4f7cdc4598ce,2023-02-06 11:54:54+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'uuid', 'web-vitals']",[],"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'uuid', 'web-vitals']",[],"{'added': ['@react-spring/parallax'], 'removed': []}","{'added': [], 'removed': []}"
9bf3dd1e825363ad04633f478d8370fbf0adeff9,2023-02-06 13:23:23+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-router-dom', 'react-scripts', 'uuid', 'web-vitals']",[],"{'added': ['react-parallax-tilt', 'vanilla-tilt'], 'removed': []}","{'added': [], 'removed': []}"
22a1de7b9f2ab33f51c70178518a4c8b970e83c3,2023-02-06 14:17:58+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"{'added': ['react-lazy-load-image-component'], 'removed': []}","{'added': [], 'removed': []}"
3d1daf4cee1c7db07994e6f466d4a7a012b0d1ca,2023-02-10 21:57:11+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'framer-motion', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"{'added': ['framer-motion'], 'removed': []}","{'added': [], 'removed': []}"
b9b8686a29ff126f628a5bf9651f3529b1f07cea,2023-08-16 13:18:14+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'cors', 'express', 'framer-motion', 'leaflet', 'node-fetch', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'framer-motion', 'leaflet', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"{'added': ['cors', 'express', 'node-fetch'], 'removed': []}","{'added': [], 'removed': []}"
3e92019644386e3065abe0e2d2e5d6577bfa81c3,2023-08-16 15:00:05+00:00,"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'cors', 'express', 'framer-motion', 'leaflet', 'node-fetch', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"['@react-spring/parallax', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'cors', 'express', 'framer-motion', 'leaflet', 'node-fetch', 'react', 'react-alice-carousel', 'react-dom', 'react-icons', 'react-lazy-load-image-component', 'react-leaflet', 'react-paginate', 'react-parallax-tilt', 'react-router-dom', 'react-scripts', 'uuid', 'vanilla-tilt', 'web-vitals']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
