commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
e7caf414684933dd2b20376b41a1da19738578e9,2021-07-08 09:24:56+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],,,"{'added': ['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript'], 'removed': []}","{'added': [], 'removed': []}"
656c66a65f7b79b042c87532d1d4556abbc1758c,2021-07-09 10:42:04+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e4cce780a2dd2cfbba1a7f87b1713c00b0a84c80,2021-07-09 12:01:15+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7b8b92d396c2cbb282863edf8818cd8c86ce1ff2,2021-07-10 22:26:14+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f0dcf8b4d25309aeb92b4334e4a42ce01f74a937,2021-08-03 08:09:50+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
acb3770ea532e0578a5bc5c653b5b36d1c251c3e,2021-09-14 17:51:36+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
18fc190c861062c30ce79294749afc6dfa2f150e,2021-10-08 11:47:44+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@testing-library/cypress', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-cypress', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': ['@testing-library/cypress', 'cypress', 'cypress-real-events', 'eslint-plugin-cypress'], 'removed': []}","{'added': [], 'removed': []}"
2069ff173c165aac17b2b8e813a6922c16288795,2021-10-08 11:48:12+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/cypress', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-cypress', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/jest-dom', '@testing-library/cypress', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-cypress', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ea596fe4d58e87547115d706255eb76a66e86ddb,2021-10-08 12:44:57+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/cypress', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-cypress', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/cypress', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-cypress', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3af578c5f11bb62b0c23f97f8564021e61f16692,2021-10-09 20:59:33+00:00,"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/cypress', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'axe-core', 'commitlint', 'cypress', 'cypress-real-events', 'cypress-axe', 'eslint', 'eslint-config-prettier', 'eslint-plugin-cypress', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'start-server-and-test', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"['@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/plugin-proposal-class-properties', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-typescript', '@babel/runtime', '@changesets/changelog-github', '@changesets/cli', '@commitlint/cli', '@commitlint/config-conventional', '@manypkg/cli', '@preconstruct/cli', '@testing-library/cypress', '@testing-library/jest-dom', '@types/form-serialize', '@types/jest', '@types/lodash', '@types/shelljs', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'commitlint', 'cypress', 'cypress-real-events', 'eslint', 'eslint-config-prettier', 'eslint-plugin-cypress', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-testing-library', 'form-serialize', 'husky', 'jest', 'jest-environment-jsdom', 'jest-watch-typeahead', 'lint-staged', 'lodash', 'node-plop', 'npm-run-all', 'prettier', 'rimraf', 'shelljs', 'ts-jest', 'ts-node', 'typescript']",[],"{'added': ['cypress-axe', 'axe-core', 'start-server-and-test'], 'removed': []}","{'added': [], 'removed': []}"
