commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7d7e5a89c648122f87520d963196de0657cd7c79,2023-08-02 13:11:53+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",,,"{'added': [], 'removed': []}","{'added': ['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports'], 'removed': []}"
9893a6bd129d41a0c43de7a4eff93ae054d2fcc6,2023-08-07 22:57:41+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1401f2ade5875306bbc42926aa9a097cf3d305b3,2023-08-09 18:18:06+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
efca1d3b1c4dda0315d70798db80f87ce3b5e692,2023-08-10 04:58:18+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0cc9483cb91448cad0fa6119e24c60d47af39c8,2023-08-10 04:59:20+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fda9142e5d7d8a79e9fbffb0a84ca0651e29f2a9,2023-08-16 20:00:28+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cfc107f3491052e0102fa37629beaa0c08ea95a5,2023-08-25 18:35:03+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dc2433776ed9a0011e2b16bf8afee624b1a92751,2023-09-18 20:32:39+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2dc91959ecc3a7ce9f008c1691efb6b952fe3a84,2023-09-29 21:41:28+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-astro', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': ['prettier-plugin-astro'], 'removed': []}"
6cddf93cc4839a4687624ef0a6a6d209f8fd9fa9,2023-09-29 21:44:21+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-astro', 'prettier-plugin-organize-imports']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lint-staged', 'prettier', 'prettier-plugin-astro', 'prettier-plugin-organize-imports']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
