commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
bc0d2a21920d0235e1da6346653b94473d765e04,2023-01-29 10:38:29+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'ping-url', 'postcss', 'postcss-loader', 'postcss-preset-env', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']",,,"{'added': ['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'ping-url', 'postcss', 'postcss-loader', 'postcss-preset-env', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge'], 'removed': []}","{'added': ['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli'], 'removed': []}"
fc44d278bbdf14c762a63c03363d4ca15cc99c2a,2023-02-04 10:22:03+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'ping-url', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'ping-url', 'postcss', 'postcss-loader', 'postcss-preset-env', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': ['postcss-loader', 'postcss-preset-env']}","{'added': [], 'removed': []}"
e7a0fb9348a611ca44b0e950334a766d78c09b64,2023-02-24 18:50:48+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'ping-url', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': ['ping-url']}","{'added': [], 'removed': []}"
b37a563c1740c3560ca6e237dbecdab613248de9,2023-04-09 15:48:24+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3a06be5c56cb4e50af2ceeb2f9c06a9711e3d432,2023-06-27 12:37:11+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
400ca5533d9907c8b51eee0aef05c11aa6c0922e,2024-02-10 12:56:25+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1676817f79188c1a6208fac6678627599b2b2cfd,2024-02-10 12:59:57+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8200892d5f225db6af828c6215458b86fe6e6452,2024-02-10 20:35:10+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8688c8f33ddb2ecf07708c5dd02a1c706257c698,2024-05-08 09:51:43+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a2f21044395f72aece2c9a05439f4e04e8000b24,2024-05-08 12:12:31+00:00,"['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","['@babel/core', '@babel/preset-env', 'babel-loader', 'clean-webpack-plugin', 'copy-webpack-plugin', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'eslint-webpack-plugin', 'file-loader', 'glob', 'glob-all', 'html-loader', 'html-webpack-plugin', 'mini-css-extract-plugin', 'node-sass', 'postcss', 'prettier', 'purgecss-webpack-plugin', 'reachable-url', 'sass', 'sass-loader', 'style-loader', 'webpack-dev-server', 'webpack-merge']","['ejs', 'template-ejs-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
