commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
705dedf5ece7a21cff574999a1047df4166de113,2022-09-19 07:40:18+00:00,"['@oclif/core', '@oclif/plugin-help', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@oclif/test', '@types/chai', '@types/mocha', '@types/node', 'chai', 'eslint', 'eslint-config-oclif', 'eslint-config-oclif-typescript', 'globby', 'mocha', 'oclif', 'shx', 'ts-node', 'tslib', 'typescript']",,,"{'added': ['@oclif/core', '@oclif/plugin-help', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'csso', 'html-minifier-terser', 'svgo', 'table'], 'removed': []}","{'added': ['@oclif/test', '@types/chai', '@types/mocha', '@types/node', 'chai', 'eslint', 'eslint-config-oclif', 'eslint-config-oclif-typescript', 'globby', 'mocha', 'oclif', 'shx', 'ts-node', 'tslib', 'typescript'], 'removed': []}"
baa81e7d664a543006efc7de3ba4417be03517e0,2022-09-21 07:12:11+00:00,"['@oclif/core', '@oclif/plugin-help', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'eslint', 'eslint-config-oclif', 'eslint-config-oclif-typescript', 'globby', 'oclif', 'shx', 'ts-node', 'tslib', 'typescript']","['@oclif/core', '@oclif/plugin-help', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@oclif/test', '@types/chai', '@types/mocha', '@types/node', 'chai', 'eslint', 'eslint-config-oclif', 'eslint-config-oclif-typescript', 'globby', 'mocha', 'oclif', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@types/mocha', 'mocha', 'chai', '@oclif/test', '@types/chai']}"
04fe57c457f4634a81367b5d9ddc4dbb5f0d87c2,2022-09-21 07:30:25+00:00,"['@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'commander', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@oclif/core', '@oclif/plugin-help', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'eslint', 'eslint-config-oclif', 'eslint-config-oclif-typescript', 'globby', 'oclif', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': ['commander', '@types/commander'], 'removed': ['@oclif/plugin-help', '@oclif/core']}","{'added': [], 'removed': ['eslint-config-oclif', 'eslint', 'oclif', 'eslint-config-oclif-typescript', 'globby']}"
7cb400bd37e8c1fad12cba768213c1084ecaaa29,2022-09-21 08:33:35+00:00,"['@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'commander', 'csso', 'globby', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'commander', 'csso', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': ['globby'], 'removed': []}","{'added': [], 'removed': []}"
fc86da0c2a0d4c6bd55de99ea518da139afcaa01,2022-09-26 10:37:16+00:00,"['@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/svgo', '@types/table', 'commander', 'csso', 'globby', 'html-minifier-terser', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': ['sharp', '@types/cheerio', '@types/sharp', 'cheerio'], 'removed': []}","{'added': [], 'removed': []}"
180a21eade2e702c795bc8dbfe3632672f1a780f,2022-09-26 19:23:23+00:00,"['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': ['@swc/core'], 'removed': []}","{'added': [], 'removed': []}"
adcd9825dc626de287d9ce97f4b03592262cdfe6,2022-09-26 20:22:57+00:00,"['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1daf3a433254a6d652941ff9fa0c8ccd4fa3fc23,2022-09-26 20:29:47+00:00,"['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
047b655a052a0bfa93213902e8bce3262d5cf2d2,2022-09-26 21:34:35+00:00,"['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'mini-svg-data-uri', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': ['mini-svg-data-uri'], 'removed': []}","{'added': [], 'removed': []}"
521f8c237dc263e2fa13dc422d4153ed18ba068c,2022-09-27 06:24:34+00:00,"['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'mini-svg-data-uri', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","['@swc/core', '@types/cheerio', '@types/commander', '@types/csso', '@types/html-minifier-terser', '@types/sharp', '@types/svgo', '@types/table', 'cheerio', 'commander', 'csso', 'globby', 'html-minifier-terser', 'mini-svg-data-uri', 'sharp', 'svgo', 'table']","['@types/node', 'shx', 'ts-node', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
