commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
ac7c9dec4566b36b276aba9cf8df060c834c3bef,2019-02-02 10:50:20+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']",,,"{'added': ['moment', 'prop-types'], 'removed': []}","{'added': ['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript'], 'removed': []}"
3bbf4546e7360c0c97ea753f254179d0799ae53f,2019-02-02 13:07:24+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['gulp-changed', 'gulp-plumber'], 'removed': []}"
60ed789fe4d3e0718affed9cdd1e5ad477c33e34,2019-02-02 13:42:04+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3efad61b614983ade104fa014aa4e8f71ad94042,2019-02-02 14:34:51+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
03ed05b501168c13efc2d9c805c9521a976f4077,2019-02-11 01:52:32+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4bdf3f7df24e8873e4b9c5e5e4bdea5c585d2a34,2019-02-11 07:14:11+00:00,"['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'flow-bin', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['flow-bin'], 'removed': []}"
0088d07494dcfc8059695aff9a4aaefabd9dd8bb,2019-02-13 08:11:18+00:00,"['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'tslint', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['moment', 'prop-types']","['@sweet/milktea', '@sweet/milktea-cli', '@sweet/server', '@sweet/util-tools', '@types/react', 'antd', 'babel-eslint', 'babel-plugin-import', 'chai', 'cross-env', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-flowtype', 'eslint-plugin-react', 'flow-bin', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'mocha', 'react', 'react-dom', 'rimraf', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['file-loader', 'html-webpack-plugin', 'webpack-dev-server', '@babel/plugin-proposal-class-properties', 'babel-loader', 'node-sass', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-optional-chaining', 'webpack', 'style-loader', '@babel/plugin-proposal-decorators', 'css-loader', '@babel/plugin-syntax-dynamic-import', '@babel/preset-react', '@babel/plugin-transform-runtime', 'sass-loader', 'webpack-cli', '@babel/core', '@babel/runtime', 'react-hot-loader'], 'removed': ['@sweet/milktea', '@sweet/milktea-cli', 'eslint-plugin-flowtype', '@sweet/util-tools', 'flow-bin', '@sweet/server']}"
57cd6cf172ca23f407d49455f74e260b40a2e552,2019-02-13 08:22:46+00:00,"['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'ts-loader', 'tslint', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'tslint', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['ts-loader'], 'removed': []}"
41f1c1b126f240e9a24a6890d74edc2e90980285,2019-02-13 08:24:43+00:00,"['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'ts-loader', 'tslint', 'typescript', 'webpack', 'webpack-dev-server']","['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-babel', 'gulp-changed', 'gulp-plumber', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'ts-loader', 'tslint', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': ['gulp-changed', 'gulp-plumber', 'gulp-babel', 'webpack-cli']}"
b6c4a12699db12d6acb8f8578b9ff68ceca6b6b5,2019-02-13 08:30:22+00:00,"['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'ts-loader', 'tslint', 'typescript', 'webpack', 'webpack-dev-server']","['moment', 'prop-types']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-transform-runtime', '@babel/preset-react', '@babel/runtime', '@types/react', 'antd', 'babel-eslint', 'babel-loader', 'babel-plugin-import', 'chai', 'cross-env', 'css-loader', 'enzyme', 'enzyme-adapter-react-16', 'eslint', 'eslint-plugin-react', 'file-loader', 'gulp', 'gulp-sass', 'gulp-typescript', 'html-webpack-plugin', 'mocha', 'node-sass', 'react', 'react-dom', 'react-hot-loader', 'rimraf', 'sass-loader', 'style-loader', 'ts-loader', 'tslint', 'typescript', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
