commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b6a8fb52f468eb77c61f31a726b376553af73f1d,2020-08-22 09:28:15+00:00,"['core-js', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue']",,,"{'added': ['core-js', 'vue', 'vue-router', 'vuex'], 'removed': []}","{'added': ['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue'], 'removed': []}"
0048cd5ae5e9726189dc6f655951d86a3c68d350,2020-08-22 09:36:32+00:00,"['core-js', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","['core-js', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue']","{'added': [], 'removed': []}","{'added': ['vue-cli-plugin-tailwind'], 'removed': []}"
67d07b7884a4d0165e10474fa672227fefd9dc3c,2020-08-22 09:57:25+00:00,"['core-js', 'lowdb', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","['core-js', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","{'added': ['lowdb'], 'removed': []}","{'added': [], 'removed': []}"
e6d8720c6f0ee92eb03030aad84425a694714b65,2020-08-22 09:59:54+00:00,"['core-js', 'lowdb', 'redis', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","['core-js', 'lowdb', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","{'added': ['redis'], 'removed': []}","{'added': [], 'removed': []}"
005e52737a3abbf67764aa94322b284f00928a52,2020-08-22 15:18:10+00:00,"['core-js', 'lowdb', 'redis', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind']","['core-js', 'lowdb', 'redis', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-tailwind']","{'added': [], 'removed': []}","{'added': ['electron', 'electron-devtools-installer', 'vue-cli-plugin-electron-builder'], 'removed': []}"
af7b85ba41bee021153865276f614af3e04cf7be,2020-08-23 13:43:05+00:00,"['core-js', 'lowdb', 'redis', 'vue', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","['core-js', 'lowdb', 'redis', 'vue', 'vue-router', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-vuex', '@vue/cli-service', '@vue/compiler-sfc', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind']","{'added': ['vue-toasted'], 'removed': ['vue-router']}","{'added': ['vue-template-compiler'], 'removed': ['@vue/compiler-sfc', '@vue/cli-plugin-router']}"
cd73f5eaf1c78fd6bc306abb1ec389e499bf5b63,2020-08-24 19:43:13+00:00,"['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","['core-js', 'lowdb', 'redis', 'vue', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","{'added': ['lodash'], 'removed': []}","{'added': [], 'removed': []}"
fd240fc4f3fd943f776e1538aa0fdbdc04e43030,2020-08-26 18:19:10+00:00,"['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-json-pretty', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","{'added': ['vue-json-pretty'], 'removed': []}","{'added': [], 'removed': []}"
d4e1d8b7b73494cf0878e5c81b157384524461ad,2020-08-29 09:59:41+00:00,"['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-json-pretty', 'vue-moment', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-json-pretty', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","{'added': ['vue-moment'], 'removed': []}","{'added': [], 'removed': []}"
d39a5df6a5ece79892c70220dbdfe72d5bf361b9,2020-09-12 13:39:45+00:00,"['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-js-modal', 'vue-json-pretty', 'vue-moment', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","['core-js', 'lodash', 'lowdb', 'redis', 'vue', 'vue-json-pretty', 'vue-moment', 'vue-toasted', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-vuex', '@vue/cli-service', 'babel-eslint', 'electron', 'electron-devtools-installer', 'eslint', 'eslint-plugin-vue', 'vue-cli-plugin-electron-builder', 'vue-cli-plugin-tailwind', 'vue-template-compiler']","{'added': ['vue-js-modal'], 'removed': []}","{'added': [], 'removed': []}"
