commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
01bf6f422056376aafd2a042ac10e9aee68ba1ef,2016-11-22 19:22:38+00:00,"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-util', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],,,"{'added': ['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-util', 'vinyl-buffer', 'vinyl-source-stream', 'watchify'], 'removed': []}","{'added': [], 'removed': []}"
bd0240437b16ea3e02629d0cecd6cf005d1c351d,2016-11-28 21:51:47+00:00,"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-util', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],"{'added': ['jshint', 'jsdoc-to-markdown', 'mocha'], 'removed': []}","{'added': [], 'removed': []}"
ccb7ac761d8adef6c6e456dd5ae98c18a4589682,2016-12-06 20:48:23+00:00,"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-uglify', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],"{'added': ['gulp-uglify'], 'removed': []}","{'added': [], 'removed': []}"
3088d5e2c2c0dcb5f966bddf8350c0222d3f30b4,2016-12-15 20:25:00+00:00,[],"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-uglify', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']","['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-uglify', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']",[],"{'added': [], 'removed': ['gulp-sourcemaps', 'browserify', 'gulp-uglify', 'babel-preset-es2015', 'babelify', 'jsdoc-to-markdown', 'watchify', 'gulp-jshint', 'vinyl-buffer', 'gulp-util', 'mocha', 'vinyl-source-stream', 'gulp', 'chai', 'jshint', 'gulp-rename']}","{'added': ['gulp-sourcemaps', 'browserify', 'gulp-uglify', 'babel-preset-es2015', 'babelify', 'jsdoc-to-markdown', 'watchify', 'gulp-jshint', 'vinyl-buffer', 'gulp-util', 'mocha', 'vinyl-source-stream', 'gulp', 'chai', 'jshint', 'gulp-rename'], 'removed': []}"
ac8189bb6d069c029d912fd162e42203dcd923d6,2017-01-19 17:06:12+00:00,[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'webpack']",[],"['babel-preset-es2015', 'babelify', 'browserify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-sourcemaps', 'gulp-uglify', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'vinyl-buffer', 'vinyl-source-stream', 'watchify']","{'added': [], 'removed': []}","{'added': ['webpack', 'babel-loader'], 'removed': ['gulp-sourcemaps', 'browserify', 'vinyl-buffer', 'gulp-uglify', 'vinyl-source-stream', 'watchify']}"
3c8aa336d3cc8f2a5163ed2ec85a6520cd25d86d,2017-02-07 01:17:14+00:00,[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'webpack']","{'added': [], 'removed': []}","{'added': ['sinon'], 'removed': []}"
2940dba65f980c244f9b57e3fdde394f36f919c5,2017-03-03 17:39:52+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'webpack']",[],[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']","{'added': ['webpack', 'babel-preset-es2015', 'babel-loader', 'gulp-util', 'mocha', 'babelify', 'gulp', 'chai', 'jsdoc-to-markdown', 'jshint', 'gulp-jshint', 'gulp-rename'], 'removed': []}","{'added': [], 'removed': ['webpack', 'sinon', 'babel-preset-es2015', 'babel-loader', 'gulp-util', 'mocha', 'babelify', 'gulp', 'chai', 'jsdoc-to-markdown', 'jshint', 'gulp-jshint', 'gulp-rename']}"
3cede25977d175cbdec7a6d23d5a2bc196e561db,2017-03-13 17:23:55+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'webpack']",[],"{'added': ['sinon'], 'removed': []}","{'added': [], 'removed': []}"
b1c91b80ccb0e824f272a128784e02790bf73928,2017-03-15 17:40:05+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']","['gulp-connect', 'gulp-saucelabs']","['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']",[],"{'added': [], 'removed': []}","{'added': ['gulp-connect', 'gulp-saucelabs'], 'removed': []}"
4a9b5c3bb9230fbaef5f525c9e3c5c07c0819290,2017-03-17 17:48:34+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-connect', 'gulp-jshint', 'gulp-rename', 'gulp-saucelabs', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-jshint', 'gulp-rename', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']","['gulp-connect', 'gulp-saucelabs']","{'added': ['gulp-connect', 'gulp-saucelabs'], 'removed': []}","{'added': [], 'removed': ['gulp-connect', 'gulp-saucelabs']}"
8e66fcc899b48c9fdc0b49dde91af907a496a317,2017-04-06 17:45:33+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-connect', 'gulp-jshint', 'gulp-rename', 'gulp-saucelabs', 'gulp-util', 'jshint', 'mocha', 'sinon', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-connect', 'gulp-jshint', 'gulp-rename', 'gulp-saucelabs', 'gulp-util', 'jsdoc-to-markdown', 'jshint', 'mocha', 'sinon', 'webpack']",[],"{'added': [], 'removed': ['jsdoc-to-markdown']}","{'added': [], 'removed': []}"
ea7f9260c30a2b12beeeb30aa468e67682e375d8,2017-05-03 19:41:22+00:00,"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'jshint', 'live-server', 'mocha', 'sauce-test-runner', 'sinon', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'gulp', 'gulp-connect', 'gulp-jshint', 'gulp-rename', 'gulp-saucelabs', 'gulp-util', 'jshint', 'mocha', 'sinon', 'webpack']",[],"{'added': ['live-server', 'sauce-test-runner'], 'removed': ['gulp-util', 'gulp', 'gulp-connect', 'gulp-jshint', 'gulp-saucelabs', 'gulp-rename']}","{'added': [], 'removed': []}"
f9ce6aadd46af94f1defc47d9e6cfa23ff0d58b5,2017-05-24 21:31:17+00:00,[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'jshint', 'live-server', 'mocha', 'sauce-test-runner', 'sinon', 'webpack']","['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'jshint', 'live-server', 'mocha', 'sauce-test-runner', 'sinon', 'webpack']",[],"{'added': [], 'removed': ['webpack', 'sinon', 'babel-preset-es2015', 'babel-loader', 'mocha', 'babelify', 'chai', 'sauce-test-runner', 'jshint', 'live-server']}","{'added': ['webpack', 'sinon', 'babel-preset-es2015', 'babel-loader', 'mocha', 'babelify', 'chai', 'sauce-test-runner', 'jshint', 'live-server'], 'removed': []}"
689a0a3d784b9c9609edec3d328b7ece8e2e24ab,2017-05-24 22:49:10+00:00,[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'jshint', 'live-server', 'mocha', 'sauce-test-runner', 'sinon', 'typescript', 'webpack']",[],"['babel-loader', 'babel-preset-es2015', 'babelify', 'chai', 'jshint', 'live-server', 'mocha', 'sauce-test-runner', 'sinon', 'webpack']","{'added': [], 'removed': []}","{'added': ['typescript'], 'removed': []}"
