commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
35b94c16321ca4d340796440ff782cbb72b0120a,2015-12-05 19:48:56+00:00,['ember-cli-babel'],"['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']",,,"{'added': ['ember-cli-babel'], 'removed': []}","{'added': ['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try'], 'removed': []}"
0007bf6c1b9f738f4203999b3a8caac35d89d04d,2015-12-14 22:47:40+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']",['ember-cli-babel'],"['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","{'added': ['ember-cli-htmlbars'], 'removed': []}","{'added': [], 'removed': ['ember-cli-htmlbars']}"
a889f859d78f3ad4e2b271a37fb4c8b90cda1393,2015-12-14 22:55:31+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7541c936aa1ce9010963b451a370374fc2c5cb9c,2015-12-21 19:41:19+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1eb48e6715d04f4c6f5f84537c5222488355d706,2015-12-23 20:52:14+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f0962d8463c07605cf32fff7152ac35b67eafe79,2015-12-26 16:28:21+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-cli', 'ember-cli-app-version', 'ember-cli-content-security-policy', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-ic-ajax', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-disable-prototype-extensions', 'ember-try']","{'added': [], 'removed': []}","{'added': ['ember-ajax', 'ember-resolver'], 'removed': ['ember-cli-ic-ajax', 'ember-cli-content-security-policy']}"
85482f741be7afcb3d42001cdce9a06b6ee87751,2016-01-12 19:47:37+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
585b26516f69c9998a5ac0768a7ec3dee07ec06c,2016-01-12 19:53:32+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try', 'ember-blog', 'ember-chat']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try']","{'added': [], 'removed': []}","{'added': ['ember-blog', 'ember-chat'], 'removed': []}"
c30936be94b0bc0da7c41eb21282755bb20f0b4c,2016-01-12 22:18:28+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try', 'ember-blog', 'ember-chat']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try', 'ember-blog', 'ember-chat']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
193ad6a5794c46425918b7b91a03b87c9cf8829f,2016-01-12 22:27:23+00:00,"['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try', 'ember-blog', 'ember-chat']","['ember-cli-htmlbars', 'ember-cli-babel']","['broccoli-asset-rev', 'ember-ajax', 'ember-cli', 'ember-cli-app-version', 'ember-cli-dependency-checker', 'ember-cli-htmlbars-inline-precompile', 'ember-cli-inject-live-reload', 'ember-cli-qunit', 'ember-cli-release', 'ember-cli-sri', 'ember-cli-uglify', 'ember-data', 'ember-disable-prototype-extensions', 'ember-disable-proxy-controllers', 'ember-export-application-global', 'ember-resolver', 'ember-try', 'ember-blog', 'ember-chat']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
