commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
fecfcda6803d3de01cc2a6023c2e79176a0b9b1b,2015-06-23 16:53:30+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'react-style', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'json-loader', 'react-a11y', 'react-hot-loader', 'webpack', 'webpack-dev-server']",,,"{'added': ['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'react-style', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader'], 'removed': []}","{'added': ['babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'json-loader', 'react-a11y', 'react-hot-loader', 'webpack', 'webpack-dev-server'], 'removed': []}"
91d3708275bbc61b172d53bd769610843620253a,2015-06-23 18:54:13+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'react-style', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'json-loader', 'react-a11y', 'react-hot-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'react-style', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'json-loader', 'react-a11y', 'react-hot-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0341cd76e19faf874e15dbf7fda07a7bd3b893b7,2015-06-24 21:53:29+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'react-style', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'json-loader', 'react-a11y', 'react-hot-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': ['react-style']}","{'added': ['style-loader', 'extract-text-webpack-plugin', 'sass-loader', 'css-loader', 'node-sass', 'react-style-webpack-plugin', 'strip-loader', 'autoprefixer-loader'], 'removed': []}"
f303509fe6a3cb918f43c964a997dfe6b140f4e7,2015-06-25 00:01:25+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['babel-eslint', 'eslint', 'eslint-plugin-react'], 'removed': []}"
8adb2d4510b52379587a07fbd68a92b206c57595,2015-06-25 08:25:26+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['eslint-config-airbnb'], 'removed': []}"
4b6e3515ee50f0fa0adbcac51abf6ca8f6e359fa,2015-06-26 08:18:18+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'react-style-webpack-plugin', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': ['react-style-webpack-plugin']}"
24212a9686e014b7cdb6dbe00abf8692be285c36,2015-07-13 20:02:46+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': ['react-redux'], 'removed': []}","{'added': [], 'removed': []}"
f97c6142466c145e8446f392c97bf82b8a97368a,2015-07-14 20:51:59+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f0d0211cc868ebca39381a4f0fe9e0b4c31cc1c6,2015-07-14 22:25:15+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'redux-devtools', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': ['redux-devtools'], 'removed': []}","{'added': [], 'removed': []}"
13384339b44961d1f2b73205a04ac9a940b66248,2015-07-15 10:22:54+00:00,"['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'redux-devtools', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['babel', 'babel-plugin-typecheck', 'compression', 'express', 'express-session', 'file-loader', 'http-proxy', 'piping', 'react', 'react-inline-css', 'react-redux', 'react-router', 'redux', 'redux-devtools', 'serve-favicon', 'serve-static', 'superagent', 'url-loader']","['autoprefixer-loader', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-runtime', 'concurrently', 'css-loader', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'json-loader', 'node-sass', 'react-a11y', 'react-hot-loader', 'sass-loader', 'strip-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
