commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
6ffb70b66182ae1e28aec390c575a09ba82dfbce,2016-06-08 23:28:56+00:00,"['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']",,,"{'added': ['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning'], 'removed': []}","{'added': ['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence'], 'removed': []}"
c0fb59005fa75eba79259b0eb7386088ccf309c8,2016-06-09 01:37:03+00:00,"['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6c29edd5e760a2a25bc0baab93e8d8cdb7f8c181,2016-06-09 18:08:27+00:00,"['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
419b46f026eba8d61b4b36c65d1ecf7e14633666,2016-06-10 16:52:39+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-pure-render', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': ['fbjs'], 'removed': ['react-pure-render']}","{'added': [], 'removed': []}"
57a49b81e650f2d794ccc99480f3f4ee245f308b,2016-06-10 16:53:17+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4478911dcadd8fc20aa87b5e57c7f8d2cd57f230,2016-06-10 23:34:31+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
56de246e6dd1cd1578d4927045fad012c987a57b,2016-06-10 23:39:11+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f6673f4ba4a19212529575b9c319549663d9ff64,2016-06-11 19:29:18+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c9be47a745136448fd84e22141981896e497d537,2016-06-11 19:54:38+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ae5f12423dbb3c10984799fef9305f76bbc21dc8,2016-06-11 20:06:16+00:00,"['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","['core-decorators', 'debug', 'fbemitter', 'fbjs', 'hoist-non-react-statics', 'invariant', 'lodash', 'mirror-creator', 'react-clone-referenced-element', 'react-redux', 'react-static-container', 'redux', 'redux-batched-actions', 'reselect', 'uuid-js', 'warning']","['babel-preset-react-native-stage-0', 'del', 'fbjs-scripts', 'gulp', 'gulp-babel', 'gulp-flatten', 'gulp-watch', 'run-sequence']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
