commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a284d2b8e27b039154586fbe4aa6fab9ad930e83,2017-04-18 18:00:35+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'ovrui', 'react', 'react-native', 'three']",,,"{'added': [], 'removed': []}","{'added': ['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'ovrui', 'react', 'react-native', 'three'], 'removed': []}"
eb47865b3ac27923d296bd7f275540b0b7b58d96,2017-04-24 17:31:18+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'ovrui', 'react', 'react-native', 'three']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'ovrui', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
95445e0e05a971a4873ba8bdc701f32ec0765ea5,2017-04-24 19:10:52+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'ovrui', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': ['prettier', 'eslint-config-prettier'], 'removed': ['ovrui']}"
2f2bce8b30e631ccb3940618b6b46245d2aa4904,2017-04-26 01:49:15+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
69f4f5a2bc8c3f8b26da6e3220cccf8e3a8cd175,2017-05-25 17:54:22+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
da637043d6b4d3a0d20b5a60501e0c3bcb2df975,2017-05-26 07:25:28+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f56b43e59f082d3eb5f2a1467b23857a62e49030,2017-06-12 07:30:41+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three']","{'added': [], 'removed': []}","{'added': ['three-gltf2-loader'], 'removed': []}"
78f4ef1066817e1fc9a09cccb61958c099e3edcd,2017-06-12 16:37:33+00:00,['create-react-class'],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']",[],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","{'added': ['create-react-class'], 'removed': []}","{'added': [], 'removed': []}"
2ccc5b8babaec46ed5ce145e5d9849c011f203ef,2017-06-12 17:01:57+00:00,"['create-react-class', 'prop-types']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']",['create-react-class'],"['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","{'added': ['prop-types'], 'removed': []}","{'added': [], 'removed': []}"
6d9aa63c6da92bbe2d9aae3b0e711fbdd7a8db9b,2017-06-21 08:35:16+00:00,"['create-react-class', 'prop-types']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","['create-react-class', 'prop-types']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cdf13fd8422cd378a6d3aa94903573ef04f7db77,2017-06-21 20:46:59+00:00,"['create-react-class', 'prop-types']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","['create-react-class', 'prop-types']","['babel-eslint', 'babel-jest', 'babel-preset-react-native', 'cross-env', 'eslint', 'eslint-config-fbjs', 'eslint-config-prettier', 'eslint-plugin-babel', 'eslint-plugin-flowtype', 'eslint-plugin-prettier', 'eslint-plugin-react', 'flow-bin', 'jest', 'jsdom', 'prettier', 'react', 'react-native', 'three', 'three-gltf2-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
