commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
fb43697806a1f01e4281ff8dcc129096466f6e55,2020-11-19 12:38:37+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",,,"{'added': [], 'removed': []}","{'added': ['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es'], 'removed': []}"
98de682e5243d8ac2cd8959d17a59fba1ee5ab66,2020-11-20 14:43:16+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
73dd1be31a27214177aef4e3e16ffc0e1b9a572c,2020-11-22 14:33:29+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0f2b1a108f069d3a16d0f0daddc7ad3a2d20bf11,2020-11-25 13:11:01+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ef42208520d5a29c42cc81daf96c2a3bf9d2673e,2020-12-03 14:10:45+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e750eba233e89dd05dfdd9daef537f905bd5d2d7,2020-12-09 10:18:05+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3d66f741cf5af3d0e561a5b1e42ebd44f01f786a,2020-12-14 09:55:09+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
79aa5ed8e92e2223e6ba8aa732498f4c7755d67d,2020-12-16 10:23:23+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a117ed3f0a3b0efc506aee4fa1785f6f501c3a77,2021-01-13 15:59:29+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
93339706df9ed23bbc4b5012d893f529cdacd163,2021-01-14 19:40:49+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
19f29b53b22ae98af9062f1013b3c4bd9dafea30,2021-01-22 12:57:42+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3170435286f442a895b730503bc256c9009d2eb5,2021-01-22 15:47:21+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1af4b2a701ae10029ad4be10fe2922056ef96237,2021-02-01 21:09:35+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c0634d20c2aa7e6361a888e7f3ab3cd0e2393be2,2021-02-04 19:49:36+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f052987401b30e5ee0b23a99c04d0c1b9cd769bf,2021-02-16 11:53:50+00:00,[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']",[],"['eslint', 'eslint-config-mdcs', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-replace', '@rollup/plugin-sucrase', 'rollup', 'rollup-plugin-root-import', 'rollup-plugin-string', 'rollup-plugin-visualizer', 'uglify-es']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
