commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
581906dc4a9477566662245a5089aef6f8bea805,2016-11-10 00:50:29+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7d443f8903bbf7431a9026cf38fd9beac4c362bb,2017-01-09 15:33:30+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a3e4d19e6abb775afa4d911e9672a5ff73259eac,2017-01-09 15:34:10+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f0df2605c94f20e911bdaffb6105bd34f450ed87,2017-01-10 00:27:00+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",[],[],"{'added': ['vue'], 'removed': []}","{'added': ['webpack', 'vue-template-compiler', 'file-loader', 'babel-preset-es2015', 'babel-loader', 'css-loader', 'babel-core', 'cross-env', 'vue-loader', 'webpack-dev-server'], 'removed': []}"
73ddc3489949cf9a5ca99b4cab86aa77d5c17d11,2017-01-10 00:28:07+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
edbb54338f0a374e41dea60565d3551c1fde0dd3,2017-01-10 00:30:49+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
10a495430e9d7efa154e289b63c5715498bed213,2017-01-10 00:31:43+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
81530d302f953570a12cc7fbcc6ee6cf22379463,2017-01-10 00:32:16+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
053000689f846205b5b0f025827fd2f448a306de,2017-01-10 17:07:10+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ad073ec49428ba25356ff17b243da1326b9426b7,2017-02-01 00:06:16+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3fd7487664b8a6c5341b2ef6d1b2b915e4063471,2017-02-04 13:49:38+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
82dabb91882585f9f5c5837a458a2cb537f7a398,2017-02-26 22:34:11+00:00,['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']",['vue'],"['babel-core', 'babel-loader', 'babel-preset-es2015', 'cross-env', 'css-loader', 'file-loader', 'vue-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
