commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
c77d21bc026006362d53848ca1d91c8297df55f1,2020-03-19 07:05:39+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']",,,"{'added': ['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity'], 'removed': []}","{'added': ['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript'], 'removed': []}"
db56e58993333e92b9253d50a5d5766f35ccb350,2020-03-26 07:53:00+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': ['connect-timeout'], 'removed': []}","{'added': [], 'removed': []}"
c788f7c45cd1866db3fc15f7ea9aca77ce148122,2020-03-29 09:48:55+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': ['express-timeout'], 'removed': []}","{'added': [], 'removed': []}"
9eea4c7a3d2114b6c73d5e8dde14e985d4d55c20,2020-05-21 22:57:57+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
69c2d9416263cf07d35fd6f48f3737c652bc7c5d,2020-05-22 08:30:27+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6deb4290cce48ae5c110b5f70cb510c021d26051,2020-05-22 08:33:18+00:00,"['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
84b6108c18b9eb9e5a0fec308d289136076f9737,2020-09-02 07:17:58+00:00,"['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","['@types/nedb', 'alasql', 'body-parser', 'casual', 'class-transformer', 'connect-timeout', 'cookie-parser', 'csv-parse', 'csv-writer', 'debug', 'deep.clone', 'electron-is-dev', 'es6-shim', 'express', 'express-handlebars', 'express-session', 'express-timeout', 'glob', 'handlebars', 'handlebars-layouts', 'hbs', 'helmet', 'http-errors', 'jquery', 'jsforce', 'json-stringify', 'linq.ts', 'memorystore', 'mkdir-recursive', 'morgan', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'reflect-metadata', 'session-memory-store', 'simple-crypto-js', 'soql-parser-js', 'string-similarity']","['@types/express', '@types/express-session', '@types/http-errors', '@types/morgan', '@types/node', 'electron', 'eslint', 'eslint-plugin-react', 'tslint', 'typescript']","{'added': ['recursive-diff', 'fastest-levenshtein', 'deep-object-diff', 'fs-extra', 'typescript', 'deep-equal', 'ncp', 'mime-types'], 'removed': ['body-parser', 'glob', 'http-errors', 'session-memory-store', 'hbs', 'string-similarity', 'linq.ts', 'csv-writer', '@types/nedb', 'electron-is-dev', 'morgan', 'express', 'memorystore', 'connect-timeout', 'handlebars-layouts', 'csv-parse', 'express-handlebars', 'debug', 'casual', 'alasql', 'express-session', 'handlebars', 'helmet', 'express-timeout', 'cookie-parser']}","{'added': ['@types/deep-equal', '@types/mime-types', '@types/ps-tree', '@types/jquery', '@types/jsforce'], 'removed': ['@types/node', 'eslint', '@types/express-session', '@types/express', 'tslint', 'typescript', '@types/morgan', '@types/http-errors', 'eslint-plugin-react']}"
61e67801d2f95126ec28fd356447d6ed50c7ae73,2020-09-02 19:06:24+00:00,"['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
24bd9c2f569696b895b10c2a7173856b16fbf6a1,2020-09-10 06:46:43+00:00,"['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4e1a11777e2b8095fc1c07d8156121b416ac8286,2020-09-11 11:21:02+00:00,"['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","['class-transformer', 'deep-equal', 'deep-object-diff', 'deep.clone', 'es6-shim', 'fastest-levenshtein', 'fs-extra', 'jquery', 'jsforce', 'json-stringify', 'mime-types', 'mkdir-recursive', 'ncp', 'nedb', 'open-file-explorer', 'parse-json', 'platform-folders', 'ps-tree', 'recursive-diff', 'reflect-metadata', 'simple-crypto-js', 'soql-parser-js', 'typescript']","['@types/deep-equal', '@types/jquery', '@types/jsforce', '@types/mime-types', '@types/ps-tree', 'electron']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
