commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
44bbe32bb5ebe46ded4fe9de8665d74a63f52f8f,2018-03-05 09:38:19+00:00,[],['babel-preset-react-native'],,,"{'added': [], 'removed': []}","{'added': ['babel-preset-react-native'], 'removed': []}"
8b72178a953f4145965330f8bb6970c59ee0b172,2018-03-05 11:44:47+00:00,[],[],[],['babel-preset-react-native'],"{'added': [], 'removed': []}","{'added': [], 'removed': ['babel-preset-react-native']}"
5e9eb4e755cc9c5e9a88dda0742126026aa1275e,2018-03-05 12:39:48+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3dd9c4fe10c4d08bd7f29d211a647440150e1ec9,2018-03-07 07:24:42+00:00,[],"['jest', 'react-test-renderer']",[],[],"{'added': [], 'removed': []}","{'added': ['jest', 'react-test-renderer'], 'removed': []}"
e088fccf0618e1a21331a94f5c00e628c9bd407f,2018-03-07 07:54:06+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['jest', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': ['prop-types', 'react', 'babel-jest', 'eslint-plugin-import', 'fs-extra', 'eslint-config-airbnb', 'eslint-plugin-react', 'babel-preset-flow', 'eslint-plugin-jsx-a11y', 'eslint-plugin-jest', 'eslint', 'react-native', 'babel-preset-react-native', 'babel-eslint', 'rimraf', 'node-watch', 'minimatch', 'flow-bin', 'concurrently'], 'removed': []}"
b03b337a2427feec18922f3aa889c880410dfa95,2018-03-07 09:32:14+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4f19e05a60bd6009f30fea1e3421ff0e630282d2,2018-03-26 12:38:17+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1c79a27c8c650484db045b56846e4a2e4ec7f9b7,2018-03-26 12:53:52+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6a2d1fc57bbcf6f88aa1939e7323f20f91f99d73,2018-03-29 07:48:05+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a6d518f0f8467f76d479c8bd1f597b6bd545772b,2018-04-05 07:59:46+00:00,[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']",[],"['babel-eslint', 'babel-jest', 'babel-preset-flow', 'babel-preset-react-native', 'concurrently', 'eslint', 'eslint-config-airbnb', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-react', 'flow-bin', 'fs-extra', 'jest', 'minimatch', 'node-watch', 'prop-types', 'react', 'react-native', 'react-test-renderer', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
