commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b2046f4aaae65fc1581921a58549de809905092e,2018-07-28 07:04:24+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
be714dc55103e25215d926e67ec3220a36ffe3f0,2018-08-21 02:12:39+00:00,[],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'webpack', 'webpack-cli']",[],[],"{'added': [], 'removed': []}","{'added': ['webpack', 'babel-plugin-transform-react-jsx', 'babel-plugin-syntax-dynamic-import', 'webpack-cli', 'babel-loader', 'babel-core', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'babel-plugin-transform-decorators-legacy'], 'removed': []}"
6f1228cb3d9f25175bc696617992830dfc9c0c5a,2018-08-21 13:30:06+00:00,['typescript'],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'ts-loader', 'webpack', 'webpack-cli']",[],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'webpack', 'webpack-cli']","{'added': ['typescript'], 'removed': []}","{'added': ['ts-loader'], 'removed': []}"
d0e9611215ee503a542a21decbcd6184ad098965,2018-08-21 14:01:01+00:00,['typescript'],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'ts-loader', 'webpack', 'webpack-cli']",['typescript'],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'ts-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3b76d5cbf90dec7735548b9d32b7ec2d277b92aa,2018-08-26 14:04:17+00:00,[],[],['typescript'],"['babel-core', 'babel-loader', 'babel-plugin-syntax-dynamic-import', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-react-jsx', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'ts-loader', 'webpack', 'webpack-cli']","{'added': [], 'removed': ['typescript']}","{'added': [], 'removed': ['webpack', 'babel-plugin-transform-react-jsx', 'babel-plugin-syntax-dynamic-import', 'webpack-cli', 'babel-loader', 'babel-core', 'ts-loader', 'babel-preset-env', 'babel-preset-react', 'babel-preset-stage-1', 'babel-plugin-transform-decorators-legacy']}"
fd4f29d3a73b2caeae018a65aceaca698d5305cc,2018-08-27 04:11:04+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c06da74dc9a5ee79d1bf224e0110b579a547368e,2018-08-27 06:12:34+00:00,[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']",[],[],"{'added': [], 'removed': []}","{'added': ['webpack', 'ts-loader', 'typescript', 'webpack-cli'], 'removed': []}"
5a67dfd53ab71a537e147d2ee32aa957c7e0dcb5,2018-08-27 07:23:35+00:00,[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']",[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8a3120ff8241679b185c512a0b2ddeaa057d2808,2018-08-27 11:24:22+00:00,[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']",[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a9e0703b86ddb877a42013c961c7c9ccefbff0fb,2018-12-15 14:37:08+00:00,['htm'],[],[],"['ts-loader', 'typescript', 'webpack', 'webpack-cli']","{'added': ['htm'], 'removed': []}","{'added': [], 'removed': ['webpack', 'ts-loader', 'typescript', 'webpack-cli']}"
