commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
94538819776f2c166f5be12cf0a03455db57391d,2015-10-14 02:17:53+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",,,"{'added': ['react-style'], 'removed': []}","{'added': ['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server'], 'removed': []}"
0a07ad7813fbc4ef4c3d08d42afbec75a6fa4bcd,2015-10-14 03:17:04+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ff9e03c57f3cf15d4eff321b598f330374dedbb1,2015-10-14 03:52:50+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ba58137d8e5dda5e824dccbbe5e813c8f6ba8d34,2015-10-14 15:44:52+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
26b405e58c73499238a34ce248b7a5d8ddcd356b,2015-10-14 16:33:25+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0a2e653b5457c92b82b9caac8e1ed2483880385,2015-10-14 17:25:10+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7e4508986c621f4e297309832015820ff0a205ce,2015-10-14 19:51:39+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1256a65413234e6143101ec7abd2d39a4a6c9221,2015-10-14 20:16:51+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5476446350ad996adec4d423ce1c1afc5b7172b4,2015-10-15 01:59:34+00:00,['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
81cdf8b8e7c0015a365ff5d637ee8adb625934b4,2015-10-15 05:58:37+00:00,[],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'webpack', 'webpack-dev-server']",['react-style'],"['babel', 'babel-core', 'babel-eslint', 'babel-loader', 'chai', 'eslint', 'eslint-plugin-react', 'mocha', 'react-dom', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': ['react-style']}","{'added': [], 'removed': ['react-dom']}"
