commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
2eb10f8e0b4257bd293ab8aa6ef62e77a9f85f2d,2022-10-25 03:25:35+00:00,[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']",,,"{'added': [], 'removed': []}","{'added': ['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router'], 'removed': []}"
a2cebf58410484a010bed07488f04cea2d41951e,2022-10-25 06:31:11+00:00,[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f2c7f9e1c6f2e6a31484761ab5d0571d6168b61d,2022-11-02 02:43:27+00:00,[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'fs-extra', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': ['fs-extra'], 'removed': []}"
0b1f8cb2fab9be98cdc0b7a9cae98d879a8e4fe3,2022-11-04 07:59:10+00:00,[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'fs-extra', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'fs-extra', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
79da41b10dbcd9e7a2dba9e4701a05bd0b5efb0c,2022-11-08 04:03:55+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'ora', 'prettier', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'fs-extra', 'husky', 'lerna', 'ora', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': ['@vue/eslint-config-prettier', 'eslint', '@vue/eslint-config-typescript', 'prettier', 'eslint-visitor-keys', 'eslint-plugin-prettier', 'eslint-plugin-vue', '@typescript-eslint/parser', '@typescript-eslint/eslint-plugin'], 'removed': []}"
3ca148289a3bbc2ad8d685b8ceefaff9720b24d9,2022-11-08 04:25:55+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'ora', 'prettier', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': ['lint-staged'], 'removed': []}"
1dacf3da07e34bf7b5eb66bb8e1b771d203630c6,2022-11-08 07:36:36+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': ['rimraf'], 'removed': []}"
52d0f9eb21bee9e1309ad866f5ebda621ca15f1c,2022-11-08 08:08:40+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
839f68d6b8e3ddbc183da1cbc0257f296f519f2f,2022-11-08 08:23:50+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fe40737ac20c8868eadee1c6acdc789257d26df4,2022-11-08 08:24:57+00:00,[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']",[],"['@commitlint/cli', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/eslint-config-prettier', '@vue/eslint-config-typescript', 'commitizen', 'commitlint', 'commitlint-config-cz', 'cz-customizable', 'eslint', 'eslint-plugin-prettier', 'eslint-plugin-vue', 'eslint-visitor-keys', 'fs-extra', 'husky', 'lerna', 'lint-staged', 'ora', 'prettier', 'rimraf', 'shelljs', 'vue', 'vue-router']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
