commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
64a8af2db05791f624d3547b8420b2cbe65b8f72,2022-06-02 12:40:11+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript'], 'removed': []}"
cb290dabdeee60292b4ff3dd35bd88ed369ddf9c,2022-06-02 14:13:35+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e4cc9a6e46a5df62b071fb04c4eb59e7a860594e,2022-06-02 14:30:32+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dea29c729451ae25258d59dc6ebde1ee038da104,2022-06-02 17:49:02+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d213b62d8296adba0b6690c0a08212c3c7378777,2022-06-02 17:49:56+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ade7e7b5312e64f65556ce1555be0a9b444f12d5,2022-06-02 18:01:59+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
38e8e88790e69c533c1c3c899e273480c3badb8f,2022-06-02 18:53:46+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c87c99b0f296163c023267bf043d31834e4b9c64,2022-06-02 19:04:17+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bcdd6e7b11a11394880c4508d1ca4ede571733cd,2022-06-02 19:04:49+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
32e8f90441559671d247b68c465d5fcd602477cd,2022-06-02 19:20:23+00:00,[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'pod-install', 'prettier', 'react', 'react-native', 'react-native-builder-bob', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
