commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
06a3fd97c1faf441d250bf6ad464a93d4510d3ce,2022-04-17 14:27:27+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'web-vitals']",['gh-pages'],,,"{'added': ['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'web-vitals'], 'removed': []}","{'added': ['gh-pages'], 'removed': []}"
ecc9792f56c5010e4f859195c9502751897aefec,2022-04-18 13:12:15+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'web-vitals']",['gh-pages'],"{'added': ['stylis', 'stylis-plugin-rtl', '@emotion/cache'], 'removed': []}","{'added': [], 'removed': []}"
33e4553b1b83793de99b48fb8b8c7c485af497ac,2022-05-13 09:16:58+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': ['apexcharts'], 'removed': []}","{'added': [], 'removed': []}"
89ceda2a9a4d5802a32299070c7b37b207a6a7c7,2022-05-14 21:09:03+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': ['@chakra-ui/system'], 'removed': []}","{'added': [], 'removed': []}"
2ce3f093d3affc0c8ebb8459a4db7beeccdfbd1f,2022-05-16 16:23:32+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
082550c6e61f65d84d8ef0683c5fbdc60c0e9eb6,2022-05-26 12:51:53+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
20d669536926abba67f0a6fe762b6b80767f871d,2022-06-02 14:45:56+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
54b8f6c1ddcbcb811eadd0ee302f6111820bffc3,2022-06-07 15:26:04+00:00,"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d8f03758a36e071cad79ddeaa230b0a824bf5f92,2022-06-08 10:51:13+00:00,"['@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@asseinfo/react-kanban', '@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': [], 'removed': ['@asseinfo/react-kanban']}","{'added': [], 'removed': []}"
e166e3cffeb8d7cfe7912c003860a56f27e09b94,2022-08-18 09:19:05+00:00,"['@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@hypertheme-editor/chakra-ui', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"['@chakra-ui/icons', '@chakra-ui/react', '@chakra-ui/system', '@chakra-ui/theme-tools', '@emotion/cache', '@emotion/react', '@emotion/styled', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'apexcharts', 'babel-cli', 'babel-preset-es2015', 'babel-preset-react', 'babel-register', 'framer-motion', 'react', 'react-apexcharts', 'react-calendar', 'react-custom-scrollbars-2', 'react-dom', 'react-dropzone', 'react-icons', 'react-is', 'react-router-dom', 'react-scripts', 'react-table', 'stylis', 'stylis-plugin-rtl', 'web-vitals']",['gh-pages'],"{'added': ['@hypertheme-editor/chakra-ui'], 'removed': []}","{'added': [], 'removed': []}"
