commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
24fcfb6be30692bc010256a998b24e402db27931,2016-09-07 20:20:20+00:00,[],"['html-webpack-plugin', 'webpack', 'webpack-dev-server']",,,"{'added': [], 'removed': []}","{'added': ['html-webpack-plugin', 'webpack', 'webpack-dev-server'], 'removed': []}"
5d1b29044f28fbde0a328b9567c8738316cbffc2,2017-06-16 22:00:56+00:00,['he'],[],[],"['html-webpack-plugin', 'webpack', 'webpack-dev-server']","{'added': ['he'], 'removed': []}","{'added': [], 'removed': ['html-webpack-plugin', 'webpack-dev-server', 'webpack']}"
bd5388a5c6dc01f2149485ed76734c0b651843a8,2021-03-08 13:21:19+00:00,[],[],['he'],[],"{'added': [], 'removed': ['he']}","{'added': [], 'removed': []}"
8b66da635d6af0290f205caa1136a93200e19765,2021-03-08 18:31:32+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bce185a19f1638c75f1282c080bffa8a3d6ca169,2021-03-11 07:51:52+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
55be1cc263d62425fac1a444512b65a86c97313d,2022-07-19 13:31:49+00:00,[],"['@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']",[],[],"{'added': [], 'removed': []}","{'added': ['events', 'process', 'querystring-es3', 'assert', 'util', '@parcel/transformer-sass'], 'removed': []}"
0d0a75e37c0ec925c831f2cf053a583bae23554b,2022-07-19 14:06:09+00:00,[],"['@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']",[],"['@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
299764cbcd2896312c89f3468935168c40a60917,2022-07-22 08:42:35+00:00,[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']",[],"['@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']","{'added': [], 'removed': []}","{'added': ['@parcel/core'], 'removed': []}"
c33adec00b4a5af1bbcf298ee505c07b1715732d,2022-07-25 12:30:09+00:00,[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'http-proxy-middleware', 'process', 'querystring-es3', 'util']",[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'process', 'querystring-es3', 'util']","{'added': [], 'removed': []}","{'added': ['http-proxy-middleware'], 'removed': []}"
52e3d407b9b08105a5b7601ba69dbec7374d8781,2022-07-26 08:37:29+00:00,[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'http-proxy-middleware', 'process', 'querystring-es3', 'util']",[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'http-proxy-middleware', 'process', 'querystring-es3', 'util']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
39abfd7ad325d7e56668a024a73c12645267a432,2024-10-25 10:24:32+00:00,[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'http-proxy-middleware', 'process', 'querystring-es3', 'util']",[],"['@parcel/core', '@parcel/transformer-sass', 'assert', 'events', 'http-proxy-middleware', 'process', 'querystring-es3', 'util']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
