commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b8088f6a443dff5c985603b389b57837ae62a282,2023-04-17 07:36:56+00:00,"['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'vite', 'vite-plugin-pages', 'vite-plugin-vue-setup-extend']",,,"{'added': ['@vueuse/core', 'pinia', 'vue', 'vue-router'], 'removed': []}","{'added': ['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'vite', 'vite-plugin-pages', 'vite-plugin-vue-setup-extend'], 'removed': []}"
8048f3a4946381c20ae76050ce5b83ec0550eb67,2023-04-17 16:15:28+00:00,"['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'vite', 'vite-plugin-pages', 'vite-plugin-vue-setup-extend']","{'added': [], 'removed': []}","{'added': ['unplugin-vue-macros'], 'removed': ['vite-plugin-vue-setup-extend']}"
37960edd3db748728ba15ad7fcbb55a39ee75438,2023-04-26 14:30:15+00:00,"['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': [], 'removed': []}","{'added': ['@unocss/eslint-config'], 'removed': []}"
45ece31007021e0c13c81435c1335ec249ec89d6,2023-04-26 16:02:15+00:00,"['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': [], 'removed': []}","{'added': ['husky', 'lint-staged'], 'removed': []}"
e529ae9b85655778eeb1130060388ad1228ac55c,2023-05-03 07:35:56+00:00,"['@vueuse/core', 'dayjs', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': ['dayjs'], 'removed': []}","{'added': [], 'removed': []}"
6477562eb3dd3a4a44d818de32f6f948766741b6,2023-05-03 11:58:38+00:00,"['@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'dayjs', 'pinia', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': ['solarlunar-es'], 'removed': []}","{'added': [], 'removed': []}"
9768ca24938732f9f068d95116190fafe6c1188b,2023-05-04 13:09:05+00:00,"['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': ['@vueuse/components'], 'removed': []}","{'added': [], 'removed': []}"
0b98ec6e294b3ded38458daa1c11da1a0373af7a,2023-05-05 11:17:20+00:00,"['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router', 'vuedraggable']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': ['vuedraggable'], 'removed': []}","{'added': [], 'removed': []}"
2b0edfc4d90eee80a4f0fb375a32444bb28d75d0,2023-05-07 05:15:43+00:00,"['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router', 'vuedraggable']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router', 'vuedraggable']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
de5f51d416aafaf7c099b12e2d6a7ef4cc70185c,2023-07-11 07:01:24+00:00,"['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router', 'vuedraggable']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'less', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","['@vueuse/components', '@vueuse/core', 'dayjs', 'pinia', 'solarlunar-es', 'vue', 'vue-router', 'vuedraggable']","['@antfu/eslint-config', '@iconify-json/carbon', '@iconify/utils', '@types/node', '@unocss/eslint-config', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', 'eslint', 'eslint-plugin-vue', 'husky', 'lint-staged', 'naive-ui', 'sass', 'typescript', 'unocss', 'unocss-preset-scalpel', 'unplugin-auto-import', 'unplugin-vue-components', 'unplugin-vue-macros', 'vite', 'vite-plugin-pages']","{'added': [], 'removed': []}","{'added': ['less'], 'removed': []}"
