commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
473610aea440bdb3a5ab1fb7f4ebd444040efc3d,2020-05-07 07:19:58+00:00,[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'react', 'react-native', 'release-it', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'react', 'react-native', 'release-it', 'typescript'], 'removed': []}"
d300dc9576635ae96494c176425ba2fbbbe27ef2,2020-05-07 13:16:59+00:00,[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-native', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'react', 'react-native', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['@types/color', 'pretty-quick', '@expo/vector-icons', 'color', 'react-native-animatable', 'react-native-modal'], 'removed': ['husky']}"
ae1ff9dc3bc35dbb85e19052328cf4f63ff1a8ab,2020-05-07 13:19:28+00:00,[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['husky'], 'removed': []}"
b8542bf4d5a119a79a7f18637cd01053daaa0e5e,2020-05-07 13:24:28+00:00,[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9de9a199cc88d1d06694266bd88e40d9853deebb,2020-05-07 13:24:42+00:00,[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
56a0126ffebedd771900425b4596d149c49e74e9,2020-05-07 13:31:03+00:00,[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c277a67cc162d5b26ac5020d0ddaf49f7a201610,2020-06-02 20:31:52+00:00,[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@expo/vector-icons', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['@types/react-native-vector-icons'], 'removed': ['@expo/vector-icons']}"
d1e2e82f16ea27a7d218a9835d86889914f0118d,2020-06-02 20:36:50+00:00,[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
32ab93abaac09e46128c46a6febc8328f5e83a61,2020-06-08 18:32:18+00:00,[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6983f185a0a4077d60e32fbba5b094f4924630e2,2020-07-08 20:15:53+00:00,[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']",[],"['@commitlint/config-conventional', '@react-native-community/bob', '@react-native-community/eslint-config', '@release-it/conventional-changelog', '@types/color', '@types/jest', '@types/react', '@types/react-native', '@types/react-native-vector-icons', 'color', 'commitlint', 'eslint', 'eslint-config-prettier', 'eslint-plugin-prettier', 'husky', 'jest', 'prettier', 'pretty-quick', 'react', 'react-native', 'react-native-animatable', 'react-native-modal', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
