commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
6dadc97e0b8a109f1786519fc1ded706c26baffc,2022-05-20 20:45:37+00:00,"['@tauri-apps/api', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']",,,"{'added': ['@tauri-apps/api', 'tauri-plugin-store-api'], 'removed': []}","{'added': ['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt'], 'removed': []}"
fe76298b5caee83443077b88cae5867706b5aa79,2022-05-22 14:53:10+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@tauri-apps/api', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': ['@pinia/nuxt', 'pinia'], 'removed': []}","{'added': [], 'removed': []}"
90b71e161f8c63eeed83f89759122ae400aa49c8,2022-06-26 20:14:40+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ae6c6088a5c088d6ab1631e006e6c9629c620a28,2022-07-01 21:26:26+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': ['vue3-smooth-dnd'], 'removed': []}","{'added': [], 'removed': []}"
d95441a2d95d676c50aeeaca024c7682dc1bd976,2022-07-02 09:34:20+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8f2257315f2a97e2ee42d96cbf745f0dcc8f3240,2022-07-02 15:22:36+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': ['mitt'], 'removed': []}","{'added': [], 'removed': []}"
ed0070f49c33f9ca573d6ee90ccd1ba11bd9e77e,2022-07-02 18:26:09+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': ['floating-vue'], 'removed': []}","{'added': [], 'removed': []}"
0483194ec10aa44ce8408eade964b93048d3bb86,2022-07-17 14:50:58+00:00,"['@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
592acda825b5c5ac2b01bfadcdcce391e3104409,2022-07-29 12:33:37+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': ['@heroicons/vue'], 'removed': []}","{'added': [], 'removed': []}"
f7468ff11769be3dc57befb63aca4a2a318b4b4b,2022-07-30 20:45:53+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
787f0454e9b0ee3021ac85452174a3d8ac580825,2022-09-17 09:16:40+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt']","{'added': [], 'removed': []}","{'added': ['postcss-custom-properties'], 'removed': []}"
561bbe4b6555f82f5a213d2fe8630a7ed0f333c1,2022-09-17 09:59:20+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
061dcb5fa096df15149ceaf89b099552194aef2c,2022-09-21 20:37:20+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
43637760bba41b30ee7e6818fd4abfa1bfad4249,2022-10-25 15:49:48+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e2315cd5ba895a2d1164d4bbf58cadae6111ddb5,2022-11-17 21:04:38+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f1b8aad9d867eb9ab38975f7e1a28c7898b93407,2022-11-17 21:13:26+00:00,"['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","['@heroicons/vue', '@pinia/nuxt', '@tauri-apps/api', 'floating-vue', 'mitt', 'pinia', 'tauri-plugin-store-api', 'vue3-smooth-dnd']","['@nuxtjs/tailwindcss', '@tauri-apps/cli', 'nuxt', 'postcss-custom-properties']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
