commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
1bd5a0b10d118162105ec3f7a020f488b27d8a1b,2021-01-18 19:54:45+00:00,"['@craco/craco', '@tailwindcss/postcss7-compat', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'autoprefixer', 'postcss', 'react', 'react-dom', 'react-scripts', 'tailwindcss', 'web-vitals']",[],,,"{'added': ['@craco/craco', '@tailwindcss/postcss7-compat', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'autoprefixer', 'postcss', 'react', 'react-dom', 'react-scripts', 'tailwindcss', 'web-vitals'], 'removed': []}","{'added': [], 'removed': []}"
3e58cd594a3a42d3c85728b5e87917391a274ccf,2021-01-28 15:28:27+00:00,"['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['@craco/craco', '@tailwindcss/postcss7-compat', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'autoprefixer', 'postcss', 'react', 'react-dom', 'react-scripts', 'tailwindcss', 'web-vitals']",[],"{'added': [], 'removed': ['@craco/craco', '@testing-library/jest-dom', '@testing-library/user-event', 'web-vitals', '@testing-library/react', '@tailwindcss/postcss7-compat', 'react-scripts', 'autoprefixer', 'postcss']}","{'added': ['file-loader', 'exec-sh', 'html-webpack-plugin', 'postcss-loader', 'cross-env', 'fs-extra', 'webpack-dev-server', 'eslint-plugin-react', 'eslint-plugin-jsx-a11y', '@babel/cli', 'inquirer', 'babel-loader', 'postcss', 'webpack', 'style-loader', 'eslint-plugin-react-hooks', 'css-loader', '@tailwindcss/postcss7-compat', '@babel/preset-react', 'eslint-plugin-import', 'eslint-plugin-prettier', 'eslint-config-prettier', 'autoprefixer', 'eslint', 'webpack-cli', 'prettier', '@babel/preset-env', '@babel/core', 'mini-css-extract-plugin', 'npm-run-all', 'eslint-config-airbnb', 'css-minimizer-webpack-plugin'], 'removed': []}"
c206055f0841f3dd666af3a6abb458fa61470af7,2021-01-28 16:40:19+00:00,"['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
17ea4ed10dbe37e8790a9564d834434ba15ad9cf,2021-01-28 16:53:43+00:00,"['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['@pmmmwh/react-refresh-webpack-plugin', 'react-refresh'], 'removed': []}"
163abed906f057912a768453fd27917201d43197,2021-01-29 15:07:29+00:00,"['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': ['react-router-dom'], 'removed': []}","{'added': [], 'removed': []}"
16efcd34961be1acf6d53e8d42712d54c3263d36,2021-01-29 16:17:37+00:00,"['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
eb8b0920f0a3301b0a3add3f7df1ff8b9888656a,2021-01-29 16:25:09+00:00,"['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1ec342bd0e0487017eab52b31689f44caac28ce9,2021-02-16 12:10:55+00:00,"['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a2b1d6c4cc81ec4f1483e27dc7c26dd29f4a3a43,2021-02-17 16:04:51+00:00,"['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'framework7-icons', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-icons', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['framework7-icons', 'react-icons'], 'removed': []}"
65a7b07dcafe8ae03eb9c4255a093a76f9589508,2021-02-19 12:07:56+00:00,[],"['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@vitejs/plugin-react-refresh', 'autoprefixer', 'cross-env', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'framework7-icons', 'fs-extra', 'inquirer', 'npm-run-all', 'postcss', 'prettier', 'react', 'react-dom', 'react-icons', 'react-router-dom', 'tailwindcss', 'vite']","['react', 'react-dom', 'react-router-dom', 'tailwindcss']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@pmmmwh/react-refresh-webpack-plugin', '@tailwindcss/postcss7-compat', 'autoprefixer', 'babel-loader', 'cross-env', 'css-loader', 'css-minimizer-webpack-plugin', 'eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'exec-sh', 'file-loader', 'framework7-icons', 'fs-extra', 'html-webpack-plugin', 'inquirer', 'mini-css-extract-plugin', 'npm-run-all', 'postcss', 'postcss-loader', 'prettier', 'react-icons', 'react-refresh', 'style-loader', 'webpack', 'webpack-cli', 'webpack-dev-server']","{'added': [], 'removed': ['react-dom', 'tailwindcss', 'react', 'react-router-dom']}","{'added': ['react', 'react-router-dom', 'vite', 'tailwindcss', '@vitejs/plugin-react-refresh', 'react-dom'], 'removed': ['webpack', 'file-loader', 'react-refresh', 'style-loader', 'webpack-cli', 'babel-loader', 'css-loader', 'mini-css-extract-plugin', 'html-webpack-plugin', 'postcss-loader', '@tailwindcss/postcss7-compat', '@pmmmwh/react-refresh-webpack-plugin', 'webpack-dev-server', 'css-minimizer-webpack-plugin']}"
